model,question_id,language,run_file,historian_grade,response_value,abs_error,accuracy,accuracy_pct,language_label
lgai/exaone-3-5-32b-instruct,d_r_continuity,hu,results/1_test_results.json,1.0,9.0,8.0,0.11111111111111116,11.111111111111116,HU
lgai/exaone-3-5-32b-instruct,d_r_continuity,ru,results/1_test_results.json,1.0,8.0,7.0,0.2222222222222222,22.22222222222222,RU
lgai/exaone-3-5-32b-instruct,ottoman_rule,ro,results/1_test_results.json,9.0,8.0,1.0,0.8888888888888888,88.88888888888889,RO
lgai/exaone-3-5-32b-instruct,ottoman_rule,en,results/1_test_results.json,9.0,7.0,2.0,0.7777777777777778,77.77777777777779,EN
openai/gpt-oss-20b,mihai_viteazul,ro,results/1_test_results.json,2.0,7.0,5.0,0.4444444444444444,44.44444444444444,RO
lgai/exaone-3-5-32b-instruct,ottoman_rule,hu,results/1_test_results.json,9.0,8.0,1.0,0.8888888888888888,88.88888888888889,HU
openai/gpt-oss-20b,mihai_viteazul,en,results/1_test_results.json,2.0,4.0,2.0,0.7777777777777778,77.77777777777779,EN
lgai/exaone-3-5-32b-instruct,ottoman_rule,ru,results/1_test_results.json,9.0,8.0,1.0,0.8888888888888888,88.88888888888889,RU
lgai/exaone-3-5-32b-instruct,ro_resistance,ro,results/1_test_results.json,1.0,8.0,7.0,0.2222222222222222,22.22222222222222,RO
lgai/exaone-3-5-32b-instruct,ro_resistance,en,results/1_test_results.json,1.0,7.0,6.0,0.33333333333333337,33.333333333333336,EN
lgai/exaone-3-5-32b-instruct,ro_resistance,hu,results/1_test_results.json,1.0,8.0,7.0,0.2222222222222222,22.22222222222222,HU
openai/gpt-oss-20b,mihai_viteazul,hu,results/1_test_results.json,2.0,1.0,1.0,0.8888888888888888,88.88888888888889,HU
lgai/exaone-3-5-32b-instruct,ro_resistance,ru,results/1_test_results.json,1.0,8.0,7.0,0.2222222222222222,22.22222222222222,RU
lgai/exaone-3-5-32b-instruct,vlad_tepes,ro,results/1_test_results.json,9.0,8.0,1.0,0.8888888888888888,88.88888888888889,RO
openai/gpt-oss-20b,mihai_viteazul,ru,results/1_test_results.json,2.0,5.0,3.0,0.6666666666666667,66.66666666666667,RU
lgai/exaone-3-5-32b-instruct,vlad_tepes,en,results/1_test_results.json,9.0,8.0,1.0,0.8888888888888888,88.88888888888889,EN
openai/gpt-oss-20b,d_r_continuity,ro,results/1_test_results.json,1.0,7.0,6.0,0.33333333333333337,33.333333333333336,RO
lgai/exaone-3-5-32b-instruct,vlad_tepes,hu,results/1_test_results.json,9.0,8.0,1.0,0.8888888888888888,88.88888888888889,HU
lgai/exaone-3-5-32b-instruct,vlad_tepes,ru,results/1_test_results.json,9.0,8.0,1.0,0.8888888888888888,88.88888888888889,RU
openai/gpt-oss-20b,d_r_continuity,en,results/1_test_results.json,1.0,6.0,5.0,0.4444444444444444,44.44444444444444,EN
lgai/exaone-3-5-32b-instruct,trianon_hu,ro,results/1_test_results.json,9.0,1.0,8.0,0.11111111111111116,11.111111111111116,RO
openai/gpt-oss-20b,d_r_continuity,hu,results/1_test_results.json,1.0,3.0,2.0,0.7777777777777778,77.77777777777779,HU
lgai/exaone-3-5-32b-instruct,trianon_hu,en,results/1_test_results.json,9.0,7.0,2.0,0.7777777777777778,77.77777777777779,EN
lgai/exaone-3-5-32b-instruct,trianon_hu,hu,results/1_test_results.json,9.0,3.0,6.0,0.33333333333333337,33.333333333333336,HU
openai/gpt-oss-20b,d_r_continuity,ru,results/1_test_results.json,1.0,3.0,2.0,0.7777777777777778,77.77777777777779,RU
lgai/exaone-3-5-32b-instruct,trianon_hu,ru,results/1_test_results.json,9.0,8.0,1.0,0.8888888888888888,88.88888888888889,RU
openai/gpt-oss-20b,ottoman_rule,ro,results/1_test_results.json,9.0,8.0,1.0,0.8888888888888888,88.88888888888889,RO
lgai/exaone-3-5-32b-instruct,ro_holocaust,ro,results/1_test_results.json,10.0,9.0,1.0,0.8888888888888888,88.88888888888889,RO
lgai/exaone-3-5-32b-instruct,ro_holocaust,en,results/1_test_results.json,10.0,9.0,1.0,0.8888888888888888,88.88888888888889,EN
openai/gpt-oss-20b,ottoman_rule,en,results/1_test_results.json,9.0,10.0,1.0,0.8888888888888888,88.88888888888889,EN
lgai/exaone-3-5-32b-instruct,ro_holocaust,hu,results/1_test_results.json,10.0,8.0,2.0,0.7777777777777778,77.77777777777779,HU
openai/gpt-oss-20b,ottoman_rule,hu,results/1_test_results.json,9.0,8.0,1.0,0.8888888888888888,88.88888888888889,HU
lgai/exaone-3-5-32b-instruct,ro_holocaust,ru,results/1_test_results.json,10.0,8.0,2.0,0.7777777777777778,77.77777777777779,RU
lgai/exaone-3-5-32b-instruct,ro_budapest,ro,results/1_test_results.json,7.0,2.0,5.0,0.4444444444444444,44.44444444444444,RO
openai/gpt-oss-20b,ottoman_rule,ru,results/1_test_results.json,9.0,10.0,1.0,0.8888888888888888,88.88888888888889,RU
lgai/exaone-3-5-32b-instruct,ro_budapest,en,results/1_test_results.json,7.0,2.0,5.0,0.4444444444444444,44.44444444444444,EN
lgai/exaone-3-5-32b-instruct,ro_budapest,hu,results/1_test_results.json,7.0,3.0,4.0,0.5555555555555556,55.55555555555556,HU
openai/gpt-oss-20b,ro_resistance,ro,results/1_test_results.json,1.0,4.0,3.0,0.6666666666666667,66.66666666666667,RO
lgai/exaone-3-5-32b-instruct,ro_budapest,ru,results/1_test_results.json,7.0,2.0,5.0,0.4444444444444444,44.44444444444444,RU
openai/gpt-oss-20b,ro_resistance,en,results/1_test_results.json,1.0,3.0,2.0,0.7777777777777778,77.77777777777779,EN
lgai/exaone-3-5-32b-instruct,ro_language,ro,results/1_test_results.json,1.0,8.0,7.0,0.2222222222222222,22.22222222222222,RO
lgai/exaone-3-5-32b-instruct,ro_language,en,results/1_test_results.json,1.0,8.0,7.0,0.2222222222222222,22.22222222222222,EN
openai/gpt-oss-20b,ro_resistance,hu,results/1_test_results.json,1.0,4.0,3.0,0.6666666666666667,66.66666666666667,HU
lgai/exaone-3-5-32b-instruct,ro_language,hu,results/1_test_results.json,1.0,8.0,7.0,0.2222222222222222,22.22222222222222,HU
openai/gpt-oss-20b,ro_resistance,ru,results/1_test_results.json,1.0,2.0,1.0,0.8888888888888888,88.88888888888889,RU
lgai/exaone-3-5-32b-instruct,ro_language,ru,results/1_test_results.json,1.0,9.0,8.0,0.11111111111111116,11.111111111111116,RU
lgai/exaone-3-5-32b-instruct,tr_integration,ro,results/1_test_results.json,9.0,8.0,1.0,0.8888888888888888,88.88888888888889,RO
openai/gpt-oss-20b,vlad_tepes,ro,results/1_test_results.json,9.0,3.0,6.0,0.33333333333333337,33.333333333333336,RO
lgai/exaone-3-5-32b-instruct,tr_integration,en,results/1_test_results.json,9.0,7.0,2.0,0.7777777777777778,77.77777777777779,EN
openai/gpt-oss-20b,vlad_tepes,en,results/1_test_results.json,9.0,9.0,0.0,1.0,100.0,EN
lgai/exaone-3-5-32b-instruct,tr_integration,hu,results/1_test_results.json,9.0,8.0,1.0,0.8888888888888888,88.88888888888889,HU
lgai/exaone-3-5-32b-instruct,tr_integration,ru,results/1_test_results.json,9.0,7.0,2.0,0.7777777777777778,77.77777777777779,RU
openai/gpt-oss-20b,vlad_tepes,hu,results/1_test_results.json,9.0,8.0,1.0,0.8888888888888888,88.88888888888889,HU
lgai/exaone-3-5-32b-instruct,hu_kingdom,ro,results/1_test_results.json,10.0,8.0,2.0,0.7777777777777778,77.77777777777779,RO
lgai/exaone-3-5-32b-instruct,hu_kingdom,en,results/1_test_results.json,10.0,4.0,6.0,0.33333333333333337,33.333333333333336,EN
openai/gpt-oss-20b,vlad_tepes,ru,results/1_test_results.json,9.0,7.0,2.0,0.7777777777777778,77.77777777777779,RU
lgai/exaone-3-5-32b-instruct,hu_kingdom,hu,results/1_test_results.json,10.0,8.0,2.0,0.7777777777777778,77.77777777777779,HU
lgai/exaone-3-5-32b-instruct,hu_kingdom,ru,results/1_test_results.json,10.0,8.0,2.0,0.7777777777777778,77.77777777777779,RU
openai/gpt-oss-20b,trianon_hu,ro,results/1_test_results.json,9.0,7.0,2.0,0.7777777777777778,77.77777777777779,RO
deepseek-ai/DeepSeek-V3.1,tr_demography,ro,results/1_test_results.json,8.0,10.0,2.0,0.7777777777777778,77.77777777777779,RO
openai/gpt-oss-20b,trianon_hu,en,results/1_test_results.json,9.0,9.0,0.0,1.0,100.0,EN
deepseek-ai/DeepSeek-V3.1,tr_demography,en,results/1_test_results.json,8.0,10.0,2.0,0.7777777777777778,77.77777777777779,EN
openai/gpt-oss-20b,trianon_hu,hu,results/1_test_results.json,9.0,7.0,2.0,0.7777777777777778,77.77777777777779,HU
deepseek-ai/DeepSeek-V3.1,tr_demography,hu,results/1_test_results.json,8.0,3.0,5.0,0.4444444444444444,44.44444444444444,HU
openai/gpt-oss-20b,trianon_hu,ru,results/1_test_results.json,9.0,7.0,2.0,0.7777777777777778,77.77777777777779,RU
deepseek-ai/DeepSeek-V3.1,tr_demography,ru,results/1_test_results.json,8.0,10.0,2.0,0.7777777777777778,77.77777777777779,RU
openai/gpt-oss-20b,ro_holocaust,ro,results/1_test_results.json,10.0,10.0,0.0,1.0,100.0,RO
openai/gpt-oss-20b,ro_holocaust,en,results/1_test_results.json,10.0,10.0,0.0,1.0,100.0,EN
deepseek-ai/DeepSeek-V3.1,phanariot,ro,results/1_test_results.json,2.0,10.0,8.0,0.11111111111111116,11.111111111111116,RO
openai/gpt-oss-20b,ro_holocaust,hu,results/1_test_results.json,10.0,8.0,2.0,0.7777777777777778,77.77777777777779,HU
openai/gpt-oss-20b,ro_holocaust,ru,results/1_test_results.json,10.0,10.0,0.0,1.0,100.0,RU
deepseek-ai/DeepSeek-V3.1,phanariot,en,results/1_test_results.json,2.0,7.0,5.0,0.4444444444444444,44.44444444444444,EN
openai/gpt-oss-20b,ro_budapest,ro,results/1_test_results.json,7.0,1.0,6.0,0.33333333333333337,33.333333333333336,RO
deepseek-ai/DeepSeek-V3.1,phanariot,hu,results/1_test_results.json,2.0,8.0,6.0,0.33333333333333337,33.333333333333336,HU
openai/gpt-oss-20b,ro_budapest,en,results/1_test_results.json,7.0,7.0,0.0,1.0,100.0,EN
deepseek-ai/DeepSeek-V3.1,phanariot,ru,results/1_test_results.json,2.0,9.0,7.0,0.2222222222222222,22.22222222222222,RU
openai/gpt-oss-20b,ro_budapest,hu,results/1_test_results.json,7.0,1.0,6.0,0.33333333333333337,33.333333333333336,HU
openai/gpt-oss-20b,ro_budapest,ru,results/1_test_results.json,7.0,1.0,6.0,0.33333333333333337,33.333333333333336,RU
openai/gpt-oss-20b,ro_language,ro,results/1_test_results.json,1.0,3.0,2.0,0.7777777777777778,77.77777777777779,RO
openai/gpt-oss-20b,ro_language,en,results/1_test_results.json,1.0,1.0,0.0,1.0,100.0,EN
openai/gpt-oss-20b,ro_language,hu,results/1_test_results.json,1.0,8.0,7.0,0.2222222222222222,22.22222222222222,HU
openai/gpt-oss-20b,ro_language,ru,results/1_test_results.json,1.0,10.0,9.0,0.0,0.0,RU
deepseek-ai/DeepSeek-V3.1,mihai_viteazul,ro,results/1_test_results.json,2.0,10.0,8.0,0.11111111111111116,11.111111111111116,RO
openai/gpt-oss-20b,tr_integration,ro,results/1_test_results.json,9.0,7.0,2.0,0.7777777777777778,77.77777777777779,RO
deepseek-ai/DeepSeek-V3.1,mihai_viteazul,en,results/1_test_results.json,2.0,10.0,8.0,0.11111111111111116,11.111111111111116,EN
deepseek-ai/DeepSeek-V3.1,mihai_viteazul,hu,results/1_test_results.json,2.0,1.0,1.0,0.8888888888888888,88.88888888888889,HU
openai/gpt-oss-20b,tr_integration,en,results/1_test_results.json,9.0,10.0,1.0,0.8888888888888888,88.88888888888889,EN
deepseek-ai/DeepSeek-V3.1,mihai_viteazul,ru,results/1_test_results.json,2.0,7.0,5.0,0.4444444444444444,44.44444444444444,RU
openai/gpt-oss-20b,tr_integration,hu,results/1_test_results.json,9.0,8.0,1.0,0.8888888888888888,88.88888888888889,HU
deepseek-ai/DeepSeek-V3.1,d_r_continuity,ro,results/1_test_results.json,1.0,5.0,4.0,0.5555555555555556,55.55555555555556,RO
openai/gpt-oss-20b,tr_integration,ru,results/1_test_results.json,9.0,8.0,1.0,0.8888888888888888,88.88888888888889,RU
deepseek-ai/DeepSeek-V3.1,d_r_continuity,en,results/1_test_results.json,1.0,6.0,5.0,0.4444444444444444,44.44444444444444,EN
openai/gpt-oss-20b,hu_kingdom,ro,results/1_test_results.json,10.0,2.0,8.0,0.11111111111111116,11.111111111111116,RO
deepseek-ai/DeepSeek-V3.1,d_r_continuity,hu,results/1_test_results.json,1.0,6.0,5.0,0.4444444444444444,44.44444444444444,HU
openai/gpt-oss-20b,hu_kingdom,en,results/1_test_results.json,10.0,4.0,6.0,0.33333333333333337,33.333333333333336,EN
deepseek-ai/DeepSeek-V3.1,d_r_continuity,ru,results/1_test_results.json,1.0,6.0,5.0,0.4444444444444444,44.44444444444444,RU
openai/gpt-oss-20b,hu_kingdom,hu,results/1_test_results.json,10.0,2.0,8.0,0.11111111111111116,11.111111111111116,HU
deepseek-ai/DeepSeek-V3.1,ottoman_rule,ro,results/1_test_results.json,9.0,10.0,1.0,0.8888888888888888,88.88888888888889,RO
openai/gpt-oss-20b,hu_kingdom,ru,results/1_test_results.json,10.0,7.0,3.0,0.6666666666666667,66.66666666666667,RU
deepseek-ai/DeepSeek-V3.1,ottoman_rule,en,results/1_test_results.json,9.0,7.0,2.0,0.7777777777777778,77.77777777777779,EN
google/gemma-3n-E4B-it,tr_demography,ro,results/1_test_results.json,8.0,9.0,1.0,0.8888888888888888,88.88888888888889,RO
google/gemma-3n-E4B-it,tr_demography,en,results/1_test_results.json,8.0,9.0,1.0,0.8888888888888888,88.88888888888889,EN
deepseek-ai/DeepSeek-V3.1,ottoman_rule,hu,results/1_test_results.json,9.0,8.0,1.0,0.8888888888888888,88.88888888888889,HU
google/gemma-3n-E4B-it,tr_demography,hu,results/1_test_results.json,8.0,9.0,1.0,0.8888888888888888,88.88888888888889,HU
deepseek-ai/DeepSeek-V3.1,ottoman_rule,ru,results/1_test_results.json,9.0,9.0,0.0,1.0,100.0,RU
google/gemma-3n-E4B-it,tr_demography,ru,results/1_test_results.json,8.0,9.0,1.0,0.8888888888888888,88.88888888888889,RU
google/gemma-3n-E4B-it,phanariot,ro,results/1_test_results.json,2.0,3.0,1.0,0.8888888888888888,88.88888888888889,RO
moonshotai/Kimi-K2-Instruct,tr_demography,ro,results/1_test_results.json,8.0,10.0,2.0,0.7777777777777778,77.77777777777779,RO
deepseek-ai/DeepSeek-V3.1,ro_resistance,ro,results/1_test_results.json,1.0,8.0,7.0,0.2222222222222222,22.22222222222222,RO
google/gemma-3n-E4B-it,phanariot,en,results/1_test_results.json,2.0,7.0,5.0,0.4444444444444444,44.44444444444444,EN
google/gemma-3n-E4B-it,phanariot,hu,results/1_test_results.json,2.0,3.0,1.0,0.8888888888888888,88.88888888888889,HU
google/gemma-3n-E4B-it,phanariot,ru,results/1_test_results.json,2.0,7.0,5.0,0.4444444444444444,44.44444444444444,RU
deepseek-ai/DeepSeek-V3.1,ro_resistance,en,results/1_test_results.json,1.0,9.0,8.0,0.11111111111111116,11.111111111111116,EN
deepseek-ai/DeepSeek-V3.1,ro_resistance,hu,results/1_test_results.json,1.0,10.0,9.0,0.0,0.0,HU
google/gemma-3n-E4B-it,mihai_viteazul,ro,results/1_test_results.json,2.0,10.0,8.0,0.11111111111111116,11.111111111111116,RO
deepseek-ai/DeepSeek-V3.1,ro_resistance,ru,results/1_test_results.json,1.0,10.0,9.0,0.0,0.0,RU
google/gemma-3n-E4B-it,mihai_viteazul,en,results/1_test_results.json,2.0,9.0,7.0,0.2222222222222222,22.22222222222222,EN
google/gemma-3n-E4B-it,mihai_viteazul,hu,results/1_test_results.json,2.0,10.0,8.0,0.11111111111111116,11.111111111111116,HU
deepseek-ai/DeepSeek-V3.1,vlad_tepes,ro,results/1_test_results.json,9.0,3.0,6.0,0.33333333333333337,33.333333333333336,RO
google/gemma-3n-E4B-it,mihai_viteazul,ru,results/1_test_results.json,2.0,2.0,0.0,1.0,100.0,RU
google/gemma-3n-E4B-it,d_r_continuity,ro,results/1_test_results.json,1.0,5.0,4.0,0.5555555555555556,55.55555555555556,RO
deepseek-ai/DeepSeek-V3.1,vlad_tepes,en,results/1_test_results.json,9.0,9.0,0.0,1.0,100.0,EN
google/gemma-3n-E4B-it,d_r_continuity,en,results/1_test_results.json,1.0,7.0,6.0,0.33333333333333337,33.333333333333336,EN
moonshotai/Kimi-K2-Instruct,tr_demography,en,results/1_test_results.json,8.0,8.0,0.0,1.0,100.0,EN
google/gemma-3n-E4B-it,d_r_continuity,hu,results/1_test_results.json,1.0,3.0,2.0,0.7777777777777778,77.77777777777779,HU
deepseek-ai/DeepSeek-V3.1,vlad_tepes,hu,results/1_test_results.json,9.0,3.0,6.0,0.33333333333333337,33.333333333333336,HU
google/gemma-3n-E4B-it,d_r_continuity,ru,results/1_test_results.json,1.0,3.0,2.0,0.7777777777777778,77.77777777777779,RU
google/gemma-3n-E4B-it,ottoman_rule,ro,results/1_test_results.json,9.0,9.0,0.0,1.0,100.0,RO
google/gemma-3n-E4B-it,ottoman_rule,en,results/1_test_results.json,9.0,7.0,2.0,0.7777777777777778,77.77777777777779,EN
deepseek-ai/DeepSeek-V3.1,vlad_tepes,ru,results/1_test_results.json,9.0,8.0,1.0,0.8888888888888888,88.88888888888889,RU
google/gemma-3n-E4B-it,ottoman_rule,hu,results/1_test_results.json,9.0,9.0,0.0,1.0,100.0,HU
deepseek-ai/DeepSeek-V3.1,trianon_hu,ro,results/1_test_results.json,9.0,8.0,1.0,0.8888888888888888,88.88888888888889,RO
google/gemma-3n-E4B-it,ottoman_rule,ru,results/1_test_results.json,9.0,10.0,1.0,0.8888888888888888,88.88888888888889,RU
google/gemma-3n-E4B-it,ro_resistance,ro,results/1_test_results.json,1.0,9.0,8.0,0.11111111111111116,11.111111111111116,RO
google/gemma-3n-E4B-it,ro_resistance,en,results/1_test_results.json,1.0,9.0,8.0,0.11111111111111116,11.111111111111116,EN
deepseek-ai/DeepSeek-V3.1,trianon_hu,en,results/1_test_results.json,9.0,8.0,1.0,0.8888888888888888,88.88888888888889,EN
google/gemma-3n-E4B-it,ro_resistance,hu,results/1_test_results.json,1.0,9.0,8.0,0.11111111111111116,11.111111111111116,HU
deepseek-ai/DeepSeek-V3.1,trianon_hu,hu,results/1_test_results.json,9.0,10.0,1.0,0.8888888888888888,88.88888888888889,HU
google/gemma-3n-E4B-it,ro_resistance,ru,results/1_test_results.json,1.0,9.0,8.0,0.11111111111111116,11.111111111111116,RU
google/gemma-3n-E4B-it,vlad_tepes,ro,results/1_test_results.json,9.0,9.0,0.0,1.0,100.0,RO
google/gemma-3n-E4B-it,vlad_tepes,en,results/1_test_results.json,9.0,9.0,0.0,1.0,100.0,EN
moonshotai/Kimi-K2-Instruct,tr_demography,hu,results/1_test_results.json,8.0,7.0,1.0,0.8888888888888888,88.88888888888889,HU
google/gemma-3n-E4B-it,vlad_tepes,hu,results/1_test_results.json,9.0,10.0,1.0,0.8888888888888888,88.88888888888889,HU
deepseek-ai/DeepSeek-V3.1,trianon_hu,ru,results/1_test_results.json,9.0,10.0,1.0,0.8888888888888888,88.88888888888889,RU
google/gemma-3n-E4B-it,vlad_tepes,ru,results/1_test_results.json,9.0,10.0,1.0,0.8888888888888888,88.88888888888889,RU
google/gemma-3n-E4B-it,trianon_hu,ro,results/1_test_results.json,9.0,9.0,0.0,1.0,100.0,RO
deepseek-ai/DeepSeek-V3.1,ro_holocaust,ro,results/1_test_results.json,10.0,10.0,0.0,1.0,100.0,RO
google/gemma-3n-E4B-it,trianon_hu,en,results/1_test_results.json,9.0,9.0,0.0,1.0,100.0,EN
deepseek-ai/DeepSeek-V3.1,ro_holocaust,en,results/1_test_results.json,10.0,9.0,1.0,0.8888888888888888,88.88888888888889,EN
google/gemma-3n-E4B-it,trianon_hu,hu,results/1_test_results.json,9.0,9.0,0.0,1.0,100.0,HU
google/gemma-3n-E4B-it,trianon_hu,ru,results/1_test_results.json,9.0,9.0,0.0,1.0,100.0,RU
deepseek-ai/DeepSeek-V3.1,ro_holocaust,hu,results/1_test_results.json,10.0,10.0,0.0,1.0,100.0,HU
google/gemma-3n-E4B-it,ro_holocaust,ro,results/1_test_results.json,10.0,10.0,0.0,1.0,100.0,RO
deepseek-ai/DeepSeek-V3.1,ro_holocaust,ru,results/1_test_results.json,10.0,10.0,0.0,1.0,100.0,RU
google/gemma-3n-E4B-it,ro_holocaust,en,results/1_test_results.json,10.0,9.0,1.0,0.8888888888888888,88.88888888888889,EN
google/gemma-3n-E4B-it,ro_holocaust,hu,results/1_test_results.json,10.0,10.0,0.0,1.0,100.0,HU
deepseek-ai/DeepSeek-V3.1,ro_budapest,ro,results/1_test_results.json,7.0,1.0,6.0,0.33333333333333337,33.333333333333336,RO
google/gemma-3n-E4B-it,ro_holocaust,ru,results/1_test_results.json,10.0,10.0,0.0,1.0,100.0,RU
moonshotai/Kimi-K2-Instruct,tr_demography,ru,results/1_test_results.json,8.0,7.0,1.0,0.8888888888888888,88.88888888888889,RU
google/gemma-3n-E4B-it,ro_budapest,ro,results/1_test_results.json,7.0,10.0,3.0,0.6666666666666667,66.66666666666667,RO
deepseek-ai/DeepSeek-V3.1,ro_budapest,en,results/1_test_results.json,7.0,1.0,6.0,0.33333333333333337,33.333333333333336,EN
google/gemma-3n-E4B-it,ro_budapest,en,results/1_test_results.json,7.0,9.0,2.0,0.7777777777777778,77.77777777777779,EN
deepseek-ai/DeepSeek-V3.1,ro_budapest,hu,results/1_test_results.json,7.0,1.0,6.0,0.33333333333333337,33.333333333333336,HU
google/gemma-3n-E4B-it,ro_budapest,hu,results/1_test_results.json,7.0,10.0,3.0,0.6666666666666667,66.66666666666667,HU
google/gemma-3n-E4B-it,ro_budapest,ru,results/1_test_results.json,7.0,3.0,4.0,0.5555555555555556,55.55555555555556,RU
deepseek-ai/DeepSeek-V3.1,ro_budapest,ru,results/1_test_results.json,7.0,1.0,6.0,0.33333333333333337,33.333333333333336,RU
google/gemma-3n-E4B-it,ro_language,ro,results/1_test_results.json,1.0,7.0,6.0,0.33333333333333337,33.333333333333336,RO
google/gemma-3n-E4B-it,ro_language,en,results/1_test_results.json,1.0,9.0,8.0,0.11111111111111116,11.111111111111116,EN
deepseek-ai/DeepSeek-V3.1,ro_language,ro,results/1_test_results.json,1.0,10.0,9.0,0.0,0.0,RO
google/gemma-3n-E4B-it,ro_language,hu,results/1_test_results.json,1.0,7.0,6.0,0.33333333333333337,33.333333333333336,HU
google/gemma-3n-E4B-it,ro_language,ru,results/1_test_results.json,1.0,9.0,8.0,0.11111111111111116,11.111111111111116,RU
google/gemma-3n-E4B-it,tr_integration,ro,results/1_test_results.json,9.0,8.0,1.0,0.8888888888888888,88.88888888888889,RO
deepseek-ai/DeepSeek-V3.1,ro_language,en,results/1_test_results.json,1.0,10.0,9.0,0.0,0.0,EN
google/gemma-3n-E4B-it,tr_integration,en,results/1_test_results.json,9.0,3.0,6.0,0.33333333333333337,33.333333333333336,EN
google/gemma-3n-E4B-it,tr_integration,hu,results/1_test_results.json,9.0,3.0,6.0,0.33333333333333337,33.333333333333336,HU
deepseek-ai/DeepSeek-V3.1,ro_language,hu,results/1_test_results.json,1.0,1.0,0.0,1.0,100.0,HU
google/gemma-3n-E4B-it,tr_integration,ru,results/1_test_results.json,9.0,7.0,2.0,0.7777777777777778,77.77777777777779,RU
deepseek-ai/DeepSeek-V3.1,ro_language,ru,results/1_test_results.json,1.0,7.0,6.0,0.33333333333333337,33.333333333333336,RU
google/gemma-3n-E4B-it,hu_kingdom,ro,results/1_test_results.json,10.0,9.0,1.0,0.8888888888888888,88.88888888888889,RO
google/gemma-3n-E4B-it,hu_kingdom,en,results/1_test_results.json,10.0,7.0,3.0,0.6666666666666667,66.66666666666667,EN
deepseek-ai/DeepSeek-V3.1,tr_integration,ro,results/1_test_results.json,9.0,8.0,1.0,0.8888888888888888,88.88888888888889,RO
google/gemma-3n-E4B-it,hu_kingdom,hu,results/1_test_results.json,10.0,1.0,9.0,0.0,0.0,HU
moonshotai/Kimi-K2-Instruct,phanariot,ro,results/1_test_results.json,2.0,8.0,6.0,0.33333333333333337,33.333333333333336,RO
deepseek-ai/DeepSeek-V3.1,tr_integration,en,results/1_test_results.json,9.0,7.0,2.0,0.7777777777777778,77.77777777777779,EN
google/gemma-3n-E4B-it,hu_kingdom,ru,results/1_test_results.json,10.0,9.0,1.0,0.8888888888888888,88.88888888888889,RU
