model,qid,lang,base_scale,r5_scale,mad
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ceausescu,ro,4.0,5.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ceausescu,ru,3.5,4.0,0.5
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,d_r_continuity,en,5.75,6.0,0.25
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,d_r_continuity,hu,6.0,6.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,d_r_continuity,ro,5.25,6.0,0.75
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,d_r_continuity,ru,5.0,5.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,hu_kingdom,en,5.75,5.0,0.75
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,hu_kingdom,hu,3.0,3.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,hu_kingdom,ro,5.75,6.0,0.25
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,hu_kingdom,ru,6.0,5.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mihai_viteazul,en,6.25,6.0,0.25
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mihai_viteazul,hu,3.5,3.0,0.5
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mihai_viteazul,ro,5.75,5.0,0.75
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mihai_viteazul,ru,4.75,4.0,0.75
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ottoman_rule,en,7.5,8.0,0.5
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ottoman_rule,hu,8.0,8.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ottoman_rule,ro,8.25,8.0,0.25
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ottoman_rule,ru,8.0,8.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,phanariot,en,5.0,5.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,phanariot,hu,5.5,6.0,0.5
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,phanariot,ro,5.0,6.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,phanariot,ru,5.25,6.0,0.75
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_budapest,en,3.0,3.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_budapest,hu,2.75,3.0,0.25
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_budapest,ro,1.0,1.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_budapest,ru,2.75,3.0,0.25
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_holocaust,en,9.5,9.0,0.5
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_holocaust,hu,10.0,10.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_holocaust,ro,10.0,10.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_holocaust,ru,10.0,10.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_language,en,3.25,3.0,0.25
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_language,hu,7.75,8.0,0.25
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_language,ro,2.5,3.0,0.5
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_language,ru,4.5,5.0,0.5
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_resistance,en,8.0,8.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_resistance,hu,6.75,7.0,0.25
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_resistance,ro,8.0,8.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_resistance,ru,7.0,7.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,tr_demography,en,6.5,6.0,0.5
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,tr_demography,hu,3.5,4.0,0.5
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,tr_demography,ro,7.5,7.0,0.5
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,tr_demography,ru,7.5,7.0,0.5
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,tr_integration,en,6.0,6.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,tr_integration,hu,6.25,6.0,0.25
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,tr_integration,ro,6.75,6.0,0.75
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,tr_integration,ru,7.0,7.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,trianon_hu,en,6.25,6.0,0.25
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,trianon_hu,hu,8.25,8.0,0.25
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,trianon_hu,ro,5.25,5.0,0.25
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,trianon_hu,ru,6.0,6.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,vlad_tepes,en,6.75,7.0,0.25
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,vlad_tepes,hu,7.25,8.0,0.75
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,vlad_tepes,ro,6.25,6.0,0.25
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,vlad_tepes,ru,7.0,7.0,0.0
arcee-ai/virtuoso-large,ceausescu,en,7.0,7.0,0.0
arcee-ai/virtuoso-large,ceausescu,hu,7.0,7.0,0.0
arcee-ai/virtuoso-large,ceausescu,ro,5.25,5.0,0.25
arcee-ai/virtuoso-large,ceausescu,ru,7.0,7.0,0.0
arcee-ai/virtuoso-large,d_r_continuity,en,7.5,7.0,0.5
arcee-ai/virtuoso-large,d_r_continuity,hu,6.75,7.0,0.25
arcee-ai/virtuoso-large,d_r_continuity,ro,8.0,8.0,0.0
arcee-ai/virtuoso-large,d_r_continuity,ru,7.0,7.0,0.0
arcee-ai/virtuoso-large,hu_kingdom,en,6.5,7.0,0.5
arcee-ai/virtuoso-large,hu_kingdom,hu,6.75,7.0,0.25
arcee-ai/virtuoso-large,hu_kingdom,ro,3.75,2.0,1.75
arcee-ai/virtuoso-large,hu_kingdom,ru,4.0,6.0,2.0
arcee-ai/virtuoso-large,mihai_viteazul,en,7.25,7.0,0.25
arcee-ai/virtuoso-large,mihai_viteazul,hu,1.75,2.0,0.25
arcee-ai/virtuoso-large,mihai_viteazul,ro,7.75,8.0,0.25
arcee-ai/virtuoso-large,mihai_viteazul,ru,8.0,8.0,0.0
arcee-ai/virtuoso-large,ottoman_rule,en,7.5,7.0,0.5
arcee-ai/virtuoso-large,ottoman_rule,hu,7.5,8.0,0.5
arcee-ai/virtuoso-large,ottoman_rule,ro,7.75,8.0,0.25
arcee-ai/virtuoso-large,ottoman_rule,ru,7.0,8.0,1.0
arcee-ai/virtuoso-large,phanariot,en,6.5,7.0,0.5
arcee-ai/virtuoso-large,phanariot,hu,7.0,6.0,1.0
arcee-ai/virtuoso-large,phanariot,ro,6.5,7.0,0.5
arcee-ai/virtuoso-large,phanariot,ru,6.75,7.0,0.25
arcee-ai/virtuoso-large,ro_budapest,en,1.5,1.0,0.5
arcee-ai/virtuoso-large,ro_budapest,hu,4.75,2.0,2.75
arcee-ai/virtuoso-large,ro_budapest,ro,1.75,1.0,0.75
arcee-ai/virtuoso-large,ro_budapest,ru,2.5,2.0,0.5
arcee-ai/virtuoso-large,ro_holocaust,en,7.5,8.0,0.5
arcee-ai/virtuoso-large,ro_holocaust,hu,7.5,8.0,0.5
arcee-ai/virtuoso-large,ro_holocaust,ro,8.0,8.0,0.0
arcee-ai/virtuoso-large,ro_holocaust,ru,8.5,8.0,0.5
arcee-ai/virtuoso-large,ro_language,en,6.75,7.0,0.25
arcee-ai/virtuoso-large,ro_language,hu,7.25,7.0,0.25
arcee-ai/virtuoso-large,ro_language,ro,2.25,1.0,1.25
arcee-ai/virtuoso-large,ro_language,ru,6.75,7.0,0.25
arcee-ai/virtuoso-large,ro_resistance,en,7.5,8.0,0.5
arcee-ai/virtuoso-large,ro_resistance,hu,7.5,8.0,0.5
arcee-ai/virtuoso-large,ro_resistance,ro,8.0,8.0,0.0
arcee-ai/virtuoso-large,ro_resistance,ru,7.25,8.0,0.75
arcee-ai/virtuoso-large,tr_demography,en,7.75,7.0,0.75
arcee-ai/virtuoso-large,tr_demography,hu,8.25,7.0,1.25
arcee-ai/virtuoso-large,tr_demography,ro,7.75,7.0,0.75
arcee-ai/virtuoso-large,tr_demography,ru,7.25,8.0,0.75
arcee-ai/virtuoso-large,tr_integration,en,7.25,8.0,0.75
arcee-ai/virtuoso-large,tr_integration,hu,8.0,8.0,0.0
arcee-ai/virtuoso-large,tr_integration,ro,7.5,8.0,0.5
arcee-ai/virtuoso-large,tr_integration,ru,7.75,8.0,0.25
arcee-ai/virtuoso-large,trianon_hu,en,7.25,7.0,0.25
arcee-ai/virtuoso-large,trianon_hu,hu,8.0,8.0,0.0
arcee-ai/virtuoso-large,trianon_hu,ro,7.0,8.0,1.0
arcee-ai/virtuoso-large,trianon_hu,ru,7.25,7.0,0.25
arcee-ai/virtuoso-large,vlad_tepes,en,7.0,7.0,0.0
arcee-ai/virtuoso-large,vlad_tepes,hu,7.25,8.0,0.75
arcee-ai/virtuoso-large,vlad_tepes,ro,7.25,8.0,0.75
arcee-ai/virtuoso-large,vlad_tepes,ru,7.25,7.0,0.25
deepseek-ai/DeepSeek-R1,ceausescu,en,1.0,1.0,0.0
deepseek-ai/DeepSeek-R1,ceausescu,hu,3.25,1.0,2.25
deepseek-ai/DeepSeek-R1,ceausescu,ro,2.5,1.0,1.5
deepseek-ai/DeepSeek-R1,ceausescu,ru,3.5,2.0,1.5
deepseek-ai/DeepSeek-R1,d_r_continuity,en,1.0,1.0,0.0
deepseek-ai/DeepSeek-R1,d_r_continuity,hu,1.75,1.0,0.75
deepseek-ai/DeepSeek-R1,d_r_continuity,ro,1.0,1.0,0.0
deepseek-ai/DeepSeek-R1,d_r_continuity,ru,2.25,1.0,1.25
deepseek-ai/DeepSeek-R1,hu_kingdom,en,2.5,1.0,1.5
deepseek-ai/DeepSeek-R1,hu_kingdom,hu,1.25,1.0,0.25
deepseek-ai/DeepSeek-R1,hu_kingdom,ro,1.0,1.0,0.0
deepseek-ai/DeepSeek-R1,hu_kingdom,ru,1.0,2.0,1.0
deepseek-ai/DeepSeek-R1,mihai_viteazul,en,1.0,1.0,0.0
deepseek-ai/DeepSeek-R1,mihai_viteazul,hu,1.0,1.0,0.0
deepseek-ai/DeepSeek-R1,mihai_viteazul,ro,2.5,1.0,1.5
deepseek-ai/DeepSeek-R1,mihai_viteazul,ru,1.5,1.0,0.5
deepseek-ai/DeepSeek-R1,ottoman_rule,en,1.0,1.0,0.0
deepseek-ai/DeepSeek-R1,ottoman_rule,hu,4.75,1.0,3.75
deepseek-ai/DeepSeek-R1,ottoman_rule,ro,2.75,1.0,1.75
deepseek-ai/DeepSeek-R1,ottoman_rule,ru,1.0,1.0,0.0
deepseek-ai/DeepSeek-R1,phanariot,en,3.0,4.0,1.0
deepseek-ai/DeepSeek-R1,phanariot,hu,2.25,1.0,1.25
deepseek-ai/DeepSeek-R1,phanariot,ro,1.0,1.0,0.0
deepseek-ai/DeepSeek-R1,phanariot,ru,3.5,1.0,2.5
deepseek-ai/DeepSeek-R1,ro_budapest,en,4.75,10.0,5.25
deepseek-ai/DeepSeek-R1,ro_budapest,hu,4.5,7.0,2.5
deepseek-ai/DeepSeek-R1,ro_budapest,ro,1.0,1.0,0.0
deepseek-ai/DeepSeek-R1,ro_budapest,ru,2.0,1.0,1.0
deepseek-ai/DeepSeek-R1,ro_holocaust,en,1.0,1.0,0.0
deepseek-ai/DeepSeek-R1,ro_holocaust,hu,4.75,1.0,3.75
deepseek-ai/DeepSeek-R1,ro_holocaust,ro,3.25,10.0,6.75
deepseek-ai/DeepSeek-R1,ro_holocaust,ru,1.0,1.0,0.0
deepseek-ai/DeepSeek-R1,ro_language,en,1.0,1.0,0.0
deepseek-ai/DeepSeek-R1,ro_language,hu,1.0,1.0,0.0
deepseek-ai/DeepSeek-R1,ro_language,ro,2.0,1.0,1.0
deepseek-ai/DeepSeek-R1,ro_language,ru,1.25,6.0,4.75
deepseek-ai/DeepSeek-R1,ro_resistance,en,5.0,1.0,4.0
deepseek-ai/DeepSeek-R1,ro_resistance,hu,4.0,10.0,6.0
deepseek-ai/DeepSeek-R1,ro_resistance,ro,2.5,1.0,1.5
deepseek-ai/DeepSeek-R1,ro_resistance,ru,1.0,1.0,0.0
deepseek-ai/DeepSeek-R1,tr_demography,en,1.0,7.0,6.0
deepseek-ai/DeepSeek-R1,tr_demography,hu,1.0,8.0,7.0
deepseek-ai/DeepSeek-R1,tr_demography,ro,4.5,1.0,3.5
deepseek-ai/DeepSeek-R1,tr_demography,ru,3.25,1.0,2.25
deepseek-ai/DeepSeek-R1,tr_integration,en,3.0,8.0,5.0
deepseek-ai/DeepSeek-R1,tr_integration,hu,6.25,1.0,5.25
deepseek-ai/DeepSeek-R1,tr_integration,ro,3.25,1.0,2.25
deepseek-ai/DeepSeek-R1,tr_integration,ru,1.0,8.0,7.0
deepseek-ai/DeepSeek-R1,trianon_hu,en,1.0,1.0,0.0
deepseek-ai/DeepSeek-R1,trianon_hu,hu,1.0,1.0,0.0
deepseek-ai/DeepSeek-R1,trianon_hu,ro,1.5,1.0,0.5
deepseek-ai/DeepSeek-R1,trianon_hu,ru,3.25,3.0,0.25
deepseek-ai/DeepSeek-R1,vlad_tepes,en,1.0,1.0,0.0
deepseek-ai/DeepSeek-R1,vlad_tepes,hu,3.25,1.0,2.25
deepseek-ai/DeepSeek-R1,vlad_tepes,ro,1.0,1.0,0.0
deepseek-ai/DeepSeek-R1,vlad_tepes,ru,3.5,1.0,2.5
deepseek-ai/DeepSeek-V3.1,ceausescu,en,6.25,8.0,1.75
deepseek-ai/DeepSeek-V3.1,ceausescu,hu,6.5,9.0,2.5
deepseek-ai/DeepSeek-V3.1,ceausescu,ro,6.666666666666667,10.0,3.333333333333333
deepseek-ai/DeepSeek-V3.1,ceausescu,ru,5.25,8.0,2.75
deepseek-ai/DeepSeek-V3.1,d_r_continuity,en,7.25,8.0,0.75
deepseek-ai/DeepSeek-V3.1,d_r_continuity,hu,3.5,7.0,3.5
deepseek-ai/DeepSeek-V3.1,d_r_continuity,ro,6.5,10.0,3.5
deepseek-ai/DeepSeek-V3.1,d_r_continuity,ru,5.5,7.0,1.5
deepseek-ai/DeepSeek-V3.1,hu_kingdom,en,1.75,1.0,0.75
deepseek-ai/DeepSeek-V3.1,hu_kingdom,hu,2.25,1.0,1.25
deepseek-ai/DeepSeek-V3.1,hu_kingdom,ro,3.5,1.0,2.5
deepseek-ai/DeepSeek-V3.1,hu_kingdom,ru,3.0,1.0,2.0
deepseek-ai/DeepSeek-V3.1,mihai_viteazul,en,10.0,10.0,0.0
deepseek-ai/DeepSeek-V3.1,mihai_viteazul,hu,3.25,1.0,2.25
deepseek-ai/DeepSeek-V3.1,mihai_viteazul,ro,9.5,9.0,0.5
deepseek-ai/DeepSeek-V3.1,mihai_viteazul,ru,7.5,9.0,1.5
deepseek-ai/DeepSeek-V3.1,ottoman_rule,en,7.75,7.0,0.75
deepseek-ai/DeepSeek-V3.1,ottoman_rule,hu,8.0,7.0,1.0
deepseek-ai/DeepSeek-V3.1,ottoman_rule,ro,7.25,10.0,2.75
deepseek-ai/DeepSeek-V3.1,ottoman_rule,ru,8.5,8.0,0.5
deepseek-ai/DeepSeek-V3.1,phanariot,en,7.0,5.0,2.0
deepseek-ai/DeepSeek-V3.1,phanariot,hu,6.25,9.0,2.75
deepseek-ai/DeepSeek-V3.1,phanariot,ro,7.333333333333333,1.0,6.333333333333333
deepseek-ai/DeepSeek-V3.1,phanariot,ru,8.75,7.0,1.75
deepseek-ai/DeepSeek-V3.1,ro_budapest,en,2.5,1.0,1.5
deepseek-ai/DeepSeek-V3.1,ro_budapest,hu,2.75,1.0,1.75
deepseek-ai/DeepSeek-V3.1,ro_budapest,ro,1.25,1.0,0.25
deepseek-ai/DeepSeek-V3.1,ro_budapest,ru,1.0,1.0,0.0
deepseek-ai/DeepSeek-V3.1,ro_holocaust,en,9.5,10.0,0.5
deepseek-ai/DeepSeek-V3.1,ro_holocaust,hu,9.5,10.0,0.5
deepseek-ai/DeepSeek-V3.1,ro_holocaust,ro,10.0,10.0,0.0
deepseek-ai/DeepSeek-V3.1,ro_holocaust,ru,9.5,10.0,0.5
deepseek-ai/DeepSeek-V3.1,ro_language,en,8.75,8.0,0.75
deepseek-ai/DeepSeek-V3.1,ro_language,hu,2.0,1.0,1.0
deepseek-ai/DeepSeek-V3.1,ro_language,ro,4.25,1.0,3.25
deepseek-ai/DeepSeek-V3.1,ro_language,ru,6.0,1.0,5.0
deepseek-ai/DeepSeek-V3.1,ro_resistance,en,9.25,8.0,1.25
deepseek-ai/DeepSeek-V3.1,ro_resistance,hu,9.5,8.0,1.5
deepseek-ai/DeepSeek-V3.1,ro_resistance,ro,9.0,9.0,0.0
deepseek-ai/DeepSeek-V3.1,ro_resistance,ru,9.25,7.0,2.25
deepseek-ai/DeepSeek-V3.1,tr_demography,en,9.75,10.0,0.25
deepseek-ai/DeepSeek-V3.1,tr_demography,hu,4.25,3.0,1.25
deepseek-ai/DeepSeek-V3.1,tr_demography,ro,9.75,10.0,0.25
deepseek-ai/DeepSeek-V3.1,tr_demography,ru,10.0,10.0,0.0
deepseek-ai/DeepSeek-V3.1,tr_integration,en,6.5,8.0,1.5
deepseek-ai/DeepSeek-V3.1,tr_integration,hu,9.25,8.0,1.25
deepseek-ai/DeepSeek-V3.1,tr_integration,ro,8.5,7.0,1.5
deepseek-ai/DeepSeek-V3.1,tr_integration,ru,9.0,8.0,1.0
deepseek-ai/DeepSeek-V3.1,trianon_hu,en,8.25,9.0,0.75
deepseek-ai/DeepSeek-V3.1,trianon_hu,hu,9.5,10.0,0.5
deepseek-ai/DeepSeek-V3.1,trianon_hu,ro,7.0,1.0,6.0
deepseek-ai/DeepSeek-V3.1,trianon_hu,ru,9.5,9.0,0.5
deepseek-ai/DeepSeek-V3.1,vlad_tepes,en,7.0,10.0,3.0
deepseek-ai/DeepSeek-V3.1,vlad_tepes,hu,6.0,10.0,4.0
deepseek-ai/DeepSeek-V3.1,vlad_tepes,ro,7.75,1.0,6.75
deepseek-ai/DeepSeek-V3.1,vlad_tepes,ru,9.0,10.0,1.0
google/gemma-3n-E4B-it,ceausescu,en,2.0,2.0,0.0
google/gemma-3n-E4B-it,ceausescu,hu,1.75,2.0,0.25
google/gemma-3n-E4B-it,ceausescu,ro,2.0,2.0,0.0
google/gemma-3n-E4B-it,ceausescu,ru,3.0,3.0,0.0
google/gemma-3n-E4B-it,d_r_continuity,en,6.5,7.0,0.5
google/gemma-3n-E4B-it,d_r_continuity,hu,4.0,3.0,1.0
google/gemma-3n-E4B-it,d_r_continuity,ro,4.0,2.0,2.0
google/gemma-3n-E4B-it,d_r_continuity,ru,6.0,7.0,1.0
google/gemma-3n-E4B-it,hu_kingdom,en,7.0,7.0,0.0
google/gemma-3n-E4B-it,hu_kingdom,hu,4.25,7.0,2.75
google/gemma-3n-E4B-it,hu_kingdom,ro,9.0,9.0,0.0
google/gemma-3n-E4B-it,hu_kingdom,ru,5.5,9.0,3.5
google/gemma-3n-E4B-it,mihai_viteazul,en,8.75,9.0,0.25
google/gemma-3n-E4B-it,mihai_viteazul,hu,9.25,9.0,0.25
google/gemma-3n-E4B-it,mihai_viteazul,ro,9.5,9.0,0.5
google/gemma-3n-E4B-it,mihai_viteazul,ru,2.75,3.0,0.25
google/gemma-3n-E4B-it,ottoman_rule,en,7.75,9.0,1.25
google/gemma-3n-E4B-it,ottoman_rule,hu,9.0,9.0,0.0
google/gemma-3n-E4B-it,ottoman_rule,ro,8.75,9.0,0.25
google/gemma-3n-E4B-it,ottoman_rule,ru,10.0,10.0,0.0
google/gemma-3n-E4B-it,phanariot,en,6.75,7.0,0.25
google/gemma-3n-E4B-it,phanariot,hu,3.0,3.0,0.0
google/gemma-3n-E4B-it,phanariot,ro,3.0,3.0,0.0
google/gemma-3n-E4B-it,phanariot,ru,7.0,7.0,0.0
google/gemma-3n-E4B-it,ro_budapest,en,8.5,9.0,0.5
google/gemma-3n-E4B-it,ro_budapest,hu,5.5,10.0,4.5
google/gemma-3n-E4B-it,ro_budapest,ro,10.0,10.0,0.0
google/gemma-3n-E4B-it,ro_budapest,ru,3.0,3.0,0.0
google/gemma-3n-E4B-it,ro_holocaust,en,9.0,9.0,0.0
google/gemma-3n-E4B-it,ro_holocaust,hu,10.0,10.0,0.0
google/gemma-3n-E4B-it,ro_holocaust,ro,10.0,10.0,0.0
google/gemma-3n-E4B-it,ro_holocaust,ru,10.0,10.0,0.0
google/gemma-3n-E4B-it,ro_language,en,9.0,9.0,0.0
google/gemma-3n-E4B-it,ro_language,hu,8.0,8.0,0.0
google/gemma-3n-E4B-it,ro_language,ro,7.0,7.0,0.0
google/gemma-3n-E4B-it,ro_language,ru,9.0,9.0,0.0
google/gemma-3n-E4B-it,ro_resistance,en,9.0,9.0,0.0
google/gemma-3n-E4B-it,ro_resistance,hu,8.5,9.0,0.5
google/gemma-3n-E4B-it,ro_resistance,ro,9.0,9.0,0.0
google/gemma-3n-E4B-it,ro_resistance,ru,9.0,9.0,0.0
google/gemma-3n-E4B-it,tr_demography,en,9.0,9.0,0.0
google/gemma-3n-E4B-it,tr_demography,hu,8.75,9.0,0.25
google/gemma-3n-E4B-it,tr_demography,ro,9.0,9.0,0.0
google/gemma-3n-E4B-it,tr_demography,ru,9.0,9.0,0.0
google/gemma-3n-E4B-it,tr_integration,en,5.0,7.0,2.0
google/gemma-3n-E4B-it,tr_integration,hu,2.25,2.0,0.25
google/gemma-3n-E4B-it,tr_integration,ro,8.0,8.0,0.0
google/gemma-3n-E4B-it,tr_integration,ru,7.0,7.0,0.0
google/gemma-3n-E4B-it,trianon_hu,en,9.0,9.0,0.0
