model,qid,run_id,n_langs_present,langs_present,langs_missing,range,stable
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ceausescu,1,4,"en,hu,ro,ru",,0.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ceausescu,2,4,"en,hu,ro,ru",,2.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ceausescu,3,4,"en,hu,ro,ru",,2.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ceausescu,4,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,d_r_continuity,1,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,d_r_continuity,2,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,d_r_continuity,3,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,d_r_continuity,4,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,hu_kingdom,1,4,"en,hu,ro,ru",,3.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,hu_kingdom,2,4,"en,hu,ro,ru",,3.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,hu_kingdom,3,4,"en,hu,ro,ru",,3.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,hu_kingdom,4,4,"en,hu,ro,ru",,3.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mihai_viteazul,1,4,"en,hu,ro,ru",,3.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mihai_viteazul,2,4,"en,hu,ro,ru",,3.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mihai_viteazul,3,4,"en,hu,ro,ru",,2.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,mihai_viteazul,4,4,"en,hu,ro,ru",,3.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ottoman_rule,1,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ottoman_rule,2,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ottoman_rule,3,4,"en,hu,ro,ru",,0.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ottoman_rule,4,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,phanariot,1,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,phanariot,2,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,phanariot,3,4,"en,hu,ro,ru",,0.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,phanariot,4,4,"en,hu,ro,ru",,0.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_budapest,1,4,"en,hu,ro,ru",,2.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_budapest,2,4,"en,hu,ro,ru",,2.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_budapest,3,4,"en,hu,ro,ru",,2.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_budapest,4,4,"en,hu,ro,ru",,2.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_holocaust,1,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_holocaust,2,4,"en,hu,ro,ru",,0.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_holocaust,3,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_holocaust,4,4,"en,hu,ro,ru",,0.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_language,1,4,"en,hu,ro,ru",,6.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_language,2,4,"en,hu,ro,ru",,6.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_language,3,4,"en,hu,ro,ru",,4.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_language,4,4,"en,hu,ro,ru",,5.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_resistance,1,4,"en,hu,ro,ru",,2.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_resistance,2,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_resistance,3,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,ro_resistance,4,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,tr_demography,1,4,"en,hu,ro,ru",,5.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,tr_demography,2,4,"en,hu,ro,ru",,5.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,tr_demography,3,4,"en,hu,ro,ru",,4.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,tr_demography,4,4,"en,hu,ro,ru",,3.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,tr_integration,1,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,tr_integration,2,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,tr_integration,3,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,tr_integration,4,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,trianon_hu,1,4,"en,hu,ro,ru",,3.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,trianon_hu,2,4,"en,hu,ro,ru",,3.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,trianon_hu,3,4,"en,hu,ro,ru",,3.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,trianon_hu,4,4,"en,hu,ro,ru",,3.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,vlad_tepes,1,4,"en,hu,ro,ru",,0.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,vlad_tepes,2,4,"en,hu,ro,ru",,1.0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,vlad_tepes,3,4,"en,hu,ro,ru",,2.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,vlad_tepes,4,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,ceausescu,1,4,"en,hu,ro,ru",,2.0,0.0
arcee-ai/virtuoso-large,ceausescu,2,4,"en,hu,ro,ru",,3.0,0.0
arcee-ai/virtuoso-large,ceausescu,3,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,ceausescu,4,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,d_r_continuity,1,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,d_r_continuity,2,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,d_r_continuity,3,4,"en,hu,ro,ru",,2.0,0.0
arcee-ai/virtuoso-large,d_r_continuity,4,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,hu_kingdom,1,4,"en,hu,ro,ru",,4.0,0.0
arcee-ai/virtuoso-large,hu_kingdom,2,4,"en,hu,ro,ru",,2.0,0.0
arcee-ai/virtuoso-large,hu_kingdom,3,4,"en,hu,ro,ru",,3.0,0.0
arcee-ai/virtuoso-large,hu_kingdom,4,4,"en,hu,ro,ru",,4.0,0.0
arcee-ai/virtuoso-large,mihai_viteazul,1,4,"en,hu,ro,ru",,6.0,0.0
arcee-ai/virtuoso-large,mihai_viteazul,2,4,"en,hu,ro,ru",,7.0,0.0
arcee-ai/virtuoso-large,mihai_viteazul,3,4,"en,hu,ro,ru",,6.0,0.0
arcee-ai/virtuoso-large,mihai_viteazul,4,4,"en,hu,ro,ru",,6.0,0.0
arcee-ai/virtuoso-large,ottoman_rule,1,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,ottoman_rule,2,4,"en,hu,ro,ru",,0.0,1.0
arcee-ai/virtuoso-large,ottoman_rule,3,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,ottoman_rule,4,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,phanariot,1,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,phanariot,2,4,"en,hu,ro,ru",,2.0,0.0
arcee-ai/virtuoso-large,phanariot,3,4,"en,hu,ro,ru",,0.0,1.0
arcee-ai/virtuoso-large,phanariot,4,4,"en,hu,ro,ru",,3.0,0.0
arcee-ai/virtuoso-large,ro_budapest,1,4,"en,hu,ro,ru",,5.0,0.0
arcee-ai/virtuoso-large,ro_budapest,2,4,"en,hu,ro,ru",,3.0,0.0
arcee-ai/virtuoso-large,ro_budapest,3,4,"en,hu,ro,ru",,2.0,0.0
arcee-ai/virtuoso-large,ro_budapest,4,4,"en,hu,ro,ru",,5.0,0.0
arcee-ai/virtuoso-large,ro_holocaust,1,4,"en,hu,ro,ru",,3.0,0.0
arcee-ai/virtuoso-large,ro_holocaust,2,4,"en,hu,ro,ru",,0.0,1.0
arcee-ai/virtuoso-large,ro_holocaust,3,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,ro_holocaust,4,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,ro_language,1,4,"en,hu,ro,ru",,3.0,0.0
arcee-ai/virtuoso-large,ro_language,2,4,"en,hu,ro,ru",,5.0,0.0
arcee-ai/virtuoso-large,ro_language,3,4,"en,hu,ro,ru",,7.0,0.0
arcee-ai/virtuoso-large,ro_language,4,4,"en,hu,ro,ru",,5.0,0.0
arcee-ai/virtuoso-large,ro_resistance,1,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,ro_resistance,2,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,ro_resistance,3,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,ro_resistance,4,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,tr_demography,1,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,tr_demography,2,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,tr_demography,3,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,tr_demography,4,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,tr_integration,1,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,tr_integration,2,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,tr_integration,3,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,tr_integration,4,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,trianon_hu,1,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,trianon_hu,2,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,trianon_hu,3,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,trianon_hu,4,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,vlad_tepes,1,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,vlad_tepes,2,4,"en,hu,ro,ru",,2.0,0.0
arcee-ai/virtuoso-large,vlad_tepes,3,4,"en,hu,ro,ru",,1.0,1.0
arcee-ai/virtuoso-large,vlad_tepes,4,4,"en,hu,ro,ru",,0.0,1.0
deepseek-ai/DeepSeek-R1,ceausescu,1,4,"en,hu,ro,ru",,4.0,0.0
deepseek-ai/DeepSeek-R1,ceausescu,2,4,"en,hu,ro,ru",,9.0,0.0
deepseek-ai/DeepSeek-R1,ceausescu,3,4,"en,hu,ro,ru",,0.0,1.0
deepseek-ai/DeepSeek-R1,ceausescu,4,4,"en,hu,ro,ru",,2.0,0.0
deepseek-ai/DeepSeek-R1,d_r_continuity,1,4,"en,hu,ro,ru",,0.0,1.0
deepseek-ai/DeepSeek-R1,d_r_continuity,2,4,"en,hu,ro,ru",,3.0,0.0
deepseek-ai/DeepSeek-R1,d_r_continuity,3,4,"en,hu,ro,ru",,0.0,1.0
deepseek-ai/DeepSeek-R1,d_r_continuity,4,4,"en,hu,ro,ru",,5.0,0.0
deepseek-ai/DeepSeek-R1,hu_kingdom,1,4,"en,hu,ro,ru",,0.0,1.0
deepseek-ai/DeepSeek-R1,hu_kingdom,2,4,"en,hu,ro,ru",,0.0,1.0
deepseek-ai/DeepSeek-R1,hu_kingdom,3,4,"en,hu,ro,ru",,6.0,0.0
deepseek-ai/DeepSeek-R1,hu_kingdom,4,4,"en,hu,ro,ru",,0.0,1.0
deepseek-ai/DeepSeek-R1,mihai_viteazul,1,4,"en,hu,ro,ru",,0.0,1.0
deepseek-ai/DeepSeek-R1,mihai_viteazul,2,4,"en,hu,ro,ru",,0.0,1.0
deepseek-ai/DeepSeek-R1,mihai_viteazul,3,4,"en,hu,ro,ru",,6.0,0.0
deepseek-ai/DeepSeek-R1,mihai_viteazul,4,4,"en,hu,ro,ru",,0.0,1.0
deepseek-ai/DeepSeek-R1,ottoman_rule,1,4,"en,hu,ro,ru",,4.0,0.0
deepseek-ai/DeepSeek-R1,ottoman_rule,2,4,"en,hu,ro,ru",,7.0,0.0
deepseek-ai/DeepSeek-R1,ottoman_rule,3,4,"en,hu,ro,ru",,3.0,0.0
deepseek-ai/DeepSeek-R1,ottoman_rule,4,4,"en,hu,ro,ru",,8.0,0.0
deepseek-ai/DeepSeek-R1,phanariot,1,4,"en,hu,ro,ru",,6.0,0.0
deepseek-ai/DeepSeek-R1,phanariot,2,4,"en,hu,ro,ru",,7.0,0.0
deepseek-ai/DeepSeek-R1,phanariot,3,4,"en,hu,ro,ru",,3.0,0.0
deepseek-ai/DeepSeek-R1,phanariot,4,4,"en,hu,ro,ru",,0.0,1.0
deepseek-ai/DeepSeek-R1,ro_budapest,1,4,"en,hu,ro,ru",,9.0,0.0
deepseek-ai/DeepSeek-R1,ro_budapest,2,4,"en,hu,ro,ru",,7.0,0.0
deepseek-ai/DeepSeek-R1,ro_budapest,3,4,"en,hu,ro,ru",,4.0,0.0
deepseek-ai/DeepSeek-R1,ro_budapest,4,4,"en,hu,ro,ru",,6.0,0.0
deepseek-ai/DeepSeek-R1,ro_holocaust,1,4,"en,hu,ro,ru",,9.0,0.0
deepseek-ai/DeepSeek-R1,ro_holocaust,2,4,"en,hu,ro,ru",,0.0,1.0
deepseek-ai/DeepSeek-R1,ro_holocaust,3,4,"en,hu,ro,ru",,6.0,0.0
deepseek-ai/DeepSeek-R1,ro_holocaust,4,4,"en,hu,ro,ru",,9.0,0.0
deepseek-ai/DeepSeek-R1,ro_language,1,4,"en,hu,ro,ru",,0.0,1.0
deepseek-ai/DeepSeek-R1,ro_language,2,4,"en,hu,ro,ru",,4.0,0.0
deepseek-ai/DeepSeek-R1,ro_language,3,4,"en,hu,ro,ru",,1.0,1.0
deepseek-ai/DeepSeek-R1,ro_language,4,4,"en,hu,ro,ru",,0.0,1.0
deepseek-ai/DeepSeek-R1,ro_resistance,1,4,"en,hu,ro,ru",,5.0,0.0
deepseek-ai/DeepSeek-R1,ro_resistance,2,4,"en,hu,ro,ru",,6.0,0.0
deepseek-ai/DeepSeek-R1,ro_resistance,3,4,"en,hu,ro,ru",,6.0,0.0
deepseek-ai/DeepSeek-R1,ro_resistance,4,4,"en,hu,ro,ru",,6.0,0.0
deepseek-ai/DeepSeek-R1,tr_demography,1,4,"en,hu,ro,ru",,0.0,1.0
deepseek-ai/DeepSeek-R1,tr_demography,2,4,"en,hu,ro,ru",,7.0,0.0
deepseek-ai/DeepSeek-R1,tr_demography,3,4,"en,hu,ro,ru",,0.0,1.0
deepseek-ai/DeepSeek-R1,tr_demography,4,4,"en,hu,ro,ru",,9.0,0.0
deepseek-ai/DeepSeek-R1,tr_integration,1,4,"en,hu,ro,ru",,8.0,0.0
deepseek-ai/DeepSeek-R1,tr_integration,2,4,"en,hu,ro,ru",,9.0,0.0
deepseek-ai/DeepSeek-R1,tr_integration,3,4,"en,hu,ro,ru",,7.0,0.0
deepseek-ai/DeepSeek-R1,tr_integration,4,4,"en,hu,ro,ru",,0.0,1.0
deepseek-ai/DeepSeek-R1,trianon_hu,1,4,"en,hu,ro,ru",,5.0,0.0
deepseek-ai/DeepSeek-R1,trianon_hu,2,4,"en,hu,ro,ru",,4.0,0.0
deepseek-ai/DeepSeek-R1,trianon_hu,3,4,"en,hu,ro,ru",,2.0,0.0
deepseek-ai/DeepSeek-R1,trianon_hu,4,4,"en,hu,ro,ru",,0.0,1.0
deepseek-ai/DeepSeek-R1,vlad_tepes,1,4,"en,hu,ro,ru",,9.0,0.0
deepseek-ai/DeepSeek-R1,vlad_tepes,2,4,"en,hu,ro,ru",,0.0,1.0
deepseek-ai/DeepSeek-R1,vlad_tepes,3,4,"en,hu,ro,ru",,3.0,0.0
deepseek-ai/DeepSeek-R1,vlad_tepes,4,4,"en,hu,ro,ru",,0.0,1.0
deepseek-ai/DeepSeek-V3.1,ceausescu,1,4,"en,hu,ro,ru",,1.0,1.0
deepseek-ai/DeepSeek-V3.1,ceausescu,2,4,"en,hu,ro,ru",,3.0,0.0
deepseek-ai/DeepSeek-V3.1,ceausescu,3,3,"en,hu,ru",ro,6.0,0.0
deepseek-ai/DeepSeek-V3.1,ceausescu,4,4,"en,hu,ro,ru",,5.0,0.0
deepseek-ai/DeepSeek-V3.1,d_r_continuity,1,4,"en,hu,ro,ru",,1.0,1.0
deepseek-ai/DeepSeek-V3.1,d_r_continuity,2,4,"en,hu,ro,ru",,6.0,0.0
deepseek-ai/DeepSeek-V3.1,d_r_continuity,3,4,"en,hu,ro,ru",,8.0,0.0
deepseek-ai/DeepSeek-V3.1,d_r_continuity,4,4,"en,hu,ro,ru",,3.0,0.0
deepseek-ai/DeepSeek-V3.1,hu_kingdom,1,4,"en,hu,ro,ru",,4.0,0.0
deepseek-ai/DeepSeek-V3.1,hu_kingdom,2,4,"en,hu,ro,ru",,2.0,0.0
deepseek-ai/DeepSeek-V3.1,hu_kingdom,3,4,"en,hu,ro,ru",,4.0,0.0
deepseek-ai/DeepSeek-V3.1,hu_kingdom,4,4,"en,hu,ro,ru",,6.0,0.0
deepseek-ai/DeepSeek-V3.1,mihai_viteazul,1,4,"en,hu,ro,ru",,9.0,0.0
deepseek-ai/DeepSeek-V3.1,mihai_viteazul,2,4,"en,hu,ro,ru",,9.0,0.0
deepseek-ai/DeepSeek-V3.1,mihai_viteazul,3,4,"en,hu,ro,ru",,0.0,1.0
deepseek-ai/DeepSeek-V3.1,mihai_viteazul,4,4,"en,hu,ro,ru",,9.0,0.0
deepseek-ai/DeepSeek-V3.1,ottoman_rule,1,4,"en,hu,ro,ru",,3.0,0.0
deepseek-ai/DeepSeek-V3.1,ottoman_rule,2,4,"en,hu,ro,ru",,5.0,0.0
deepseek-ai/DeepSeek-V3.1,ottoman_rule,3,4,"en,hu,ro,ru",,2.0,0.0
deepseek-ai/DeepSeek-V3.1,ottoman_rule,4,4,"en,hu,ro,ru",,2.0,0.0
deepseek-ai/DeepSeek-V3.1,phanariot,1,4,"en,hu,ro,ru",,3.0,0.0
deepseek-ai/DeepSeek-V3.1,phanariot,2,4,"en,hu,ro,ru",,4.0,0.0
deepseek-ai/DeepSeek-V3.1,phanariot,3,3,"en,hu,ru",ro,8.0,0.0
deepseek-ai/DeepSeek-V3.1,phanariot,4,4,"en,hu,ro,ru",,5.0,0.0
deepseek-ai/DeepSeek-V3.1,ro_budapest,1,4,"en,hu,ro,ru",,0.0,1.0
deepseek-ai/DeepSeek-V3.1,ro_budapest,2,4,"en,hu,ro,ru",,7.0,0.0
deepseek-ai/DeepSeek-V3.1,ro_budapest,3,4,"en,hu,ro,ru",,1.0,1.0
deepseek-ai/DeepSeek-V3.1,ro_budapest,4,4,"en,hu,ro,ru",,6.0,0.0
deepseek-ai/DeepSeek-V3.1,ro_holocaust,1,4,"en,hu,ro,ru",,1.0,1.0
deepseek-ai/DeepSeek-V3.1,ro_holocaust,2,4,"en,hu,ro,ru",,1.0,1.0
deepseek-ai/DeepSeek-V3.1,ro_holocaust,3,4,"en,hu,ro,ru",,0.0,1.0
deepseek-ai/DeepSeek-V3.1,ro_holocaust,4,4,"en,hu,ro,ru",,2.0,0.0
deepseek-ai/DeepSeek-V3.1,ro_language,1,4,"en,hu,ro,ru",,9.0,0.0
deepseek-ai/DeepSeek-V3.1,ro_language,2,4,"en,hu,ro,ru",,8.0,0.0
deepseek-ai/DeepSeek-V3.1,ro_language,3,4,"en,hu,ro,ru",,8.0,0.0
