model,question_id,language,historian_grade,expected_yes,correct_count,total_count,accuracy,accuracy_pct,language_label
openai/gpt-oss-20b,ottoman_rule,ro,9.0,True,4,4,1.0,100.0,RO
lgai/exaone-3-5-32b-instruct,ro_holocaust,ro,10.0,True,4,4,1.0,100.0,RO
lgai/exaone-3-5-32b-instruct,ro_holocaust,en,10.0,True,4,4,1.0,100.0,EN
openai/gpt-oss-20b,ottoman_rule,en,9.0,True,4,4,1.0,100.0,EN
lgai/exaone-3-5-32b-instruct,ro_holocaust,hu,10.0,True,4,4,1.0,100.0,HU
openai/gpt-oss-20b,ottoman_rule,hu,9.0,True,4,4,1.0,100.0,HU
lgai/exaone-3-5-32b-instruct,ro_holocaust,ru,10.0,True,1,4,0.25,25.0,RU
deepseek-ai/DeepSeek-R1,tr_demography,hu,8.0,True,2,4,0.5,50.0,HU
lgai/exaone-3-5-32b-instruct,ro_budapest,ro,7.0,True,0,4,0.0,0.0,RO
openai/gpt-oss-20b,ottoman_rule,ru,9.0,True,4,4,1.0,100.0,RU
lgai/exaone-3-5-32b-instruct,ro_budapest,en,7.0,True,0,4,0.0,0.0,EN
openai/gpt-oss-20b,ro_resistance,ro,1.0,False,4,4,1.0,100.0,RO
lgai/exaone-3-5-32b-instruct,ro_budapest,hu,7.0,True,0,4,0.0,0.0,HU
lgai/exaone-3-5-32b-instruct,ro_budapest,ru,7.0,True,0,4,0.0,0.0,RU
openai/gpt-oss-20b,ro_resistance,en,1.0,False,4,4,1.0,100.0,EN
lgai/exaone-3-5-32b-instruct,ro_language,ro,1.0,False,0,4,0.0,0.0,RO
openai/gpt-oss-20b,ro_resistance,hu,1.0,False,4,4,1.0,100.0,HU
lgai/exaone-3-5-32b-instruct,ro_language,en,1.0,False,0,4,0.0,0.0,EN
lgai/exaone-3-5-32b-instruct,ro_language,hu,1.0,False,0,4,0.0,0.0,HU
openai/gpt-oss-20b,ro_resistance,ru,1.0,False,4,4,1.0,100.0,RU
lgai/exaone-3-5-32b-instruct,ro_language,ru,1.0,False,0,4,0.0,0.0,RU
lgai/exaone-3-5-32b-instruct,tr_integration,ro,9.0,True,4,4,1.0,100.0,RO
openai/gpt-oss-20b,vlad_tepes,ro,9.0,True,0,4,0.0,0.0,RO
lgai/exaone-3-5-32b-instruct,tr_integration,en,9.0,True,4,4,1.0,100.0,EN
openai/gpt-oss-20b,vlad_tepes,en,9.0,True,4,4,1.0,100.0,EN
deepseek-ai/DeepSeek-R1,tr_demography,ru,8.0,True,4,4,1.0,100.0,RU
lgai/exaone-3-5-32b-instruct,tr_integration,hu,9.0,True,4,4,1.0,100.0,HU
lgai/exaone-3-5-32b-instruct,tr_integration,ru,9.0,True,4,4,1.0,100.0,RU
openai/gpt-oss-20b,vlad_tepes,hu,9.0,True,4,4,1.0,100.0,HU
lgai/exaone-3-5-32b-instruct,hu_kingdom,ro,10.0,True,4,4,1.0,100.0,RO
openai/gpt-oss-20b,vlad_tepes,ru,9.0,True,3,4,0.75,75.0,RU
lgai/exaone-3-5-32b-instruct,hu_kingdom,en,10.0,True,0,4,0.0,0.0,EN
lgai/exaone-3-5-32b-instruct,hu_kingdom,hu,10.0,True,0,4,0.0,0.0,HU
lgai/exaone-3-5-32b-instruct,hu_kingdom,ru,10.0,True,0,4,0.0,0.0,RU
openai/gpt-oss-20b,trianon_hu,ro,9.0,True,3,4,0.75,75.0,RO
deepseek-ai/DeepSeek-V3.1,tr_demography,ro,8.0,True,4,4,1.0,100.0,RO
openai/gpt-oss-20b,trianon_hu,en,9.0,True,4,4,1.0,100.0,EN
deepseek-ai/DeepSeek-V3.1,tr_demography,en,8.0,True,4,4,1.0,100.0,EN
openai/gpt-oss-20b,trianon_hu,hu,9.0,True,4,4,1.0,100.0,HU
deepseek-ai/DeepSeek-V3.1,tr_demography,hu,8.0,True,1,4,0.25,25.0,HU
openai/gpt-oss-20b,trianon_hu,ru,9.0,True,4,4,1.0,100.0,RU
deepseek-ai/DeepSeek-V3.1,tr_demography,ru,8.0,True,4,4,1.0,100.0,RU
openai/gpt-oss-20b,ro_holocaust,ro,10.0,True,4,4,1.0,100.0,RO
openai/gpt-oss-20b,ro_holocaust,en,10.0,True,4,4,1.0,100.0,EN
deepseek-ai/DeepSeek-V3.1,phanariot,ro,2.0,False,3,4,0.75,75.0,RO
openai/gpt-oss-20b,ro_holocaust,hu,10.0,True,4,4,1.0,100.0,HU
openai/gpt-oss-20b,ro_holocaust,ru,10.0,True,4,4,1.0,100.0,RU
deepseek-ai/DeepSeek-V3.1,phanariot,en,2.0,False,0,4,0.0,0.0,EN
deepseek-ai/DeepSeek-R1,phanariot,ro,2.0,False,3,4,0.75,75.0,RO
openai/gpt-oss-20b,ro_budapest,ro,7.0,True,0,4,0.0,0.0,RO
deepseek-ai/DeepSeek-V3.1,phanariot,hu,2.0,False,4,4,1.0,100.0,HU
deepseek-ai/DeepSeek-V3.1,phanariot,ru,2.0,False,1,4,0.25,25.0,RU
openai/gpt-oss-20b,ro_budapest,en,7.0,True,1,4,0.25,25.0,EN
openai/gpt-oss-20b,ro_budapest,hu,7.0,True,0,4,0.0,0.0,HU
openai/gpt-oss-20b,ro_budapest,ru,7.0,True,0,4,0.0,0.0,RU
openai/gpt-oss-20b,ro_language,ro,1.0,False,2,4,0.5,50.0,RO
openai/gpt-oss-20b,ro_language,en,1.0,False,4,4,1.0,100.0,EN
openai/gpt-oss-20b,ro_language,hu,1.0,False,4,4,1.0,100.0,HU
deepseek-ai/DeepSeek-V3.1,mihai_viteazul,ro,2.0,False,3,4,0.75,75.0,RO
openai/gpt-oss-20b,ro_language,ru,1.0,False,4,4,1.0,100.0,RU
deepseek-ai/DeepSeek-R1,phanariot,en,2.0,False,2,4,0.5,50.0,EN
openai/gpt-oss-20b,tr_integration,ro,9.0,True,3,4,0.75,75.0,RO
deepseek-ai/DeepSeek-V3.1,mihai_viteazul,en,2.0,False,4,4,1.0,100.0,EN
deepseek-ai/DeepSeek-V3.1,mihai_viteazul,hu,2.0,False,4,4,1.0,100.0,HU
openai/gpt-oss-20b,tr_integration,en,9.0,True,4,4,1.0,100.0,EN
deepseek-ai/DeepSeek-V3.1,mihai_viteazul,ru,2.0,False,4,4,1.0,100.0,RU
openai/gpt-oss-20b,tr_integration,hu,9.0,True,2,4,0.5,50.0,HU
deepseek-ai/DeepSeek-V3.1,d_r_continuity,ro,1.0,False,0,4,0.0,0.0,RO
openai/gpt-oss-20b,tr_integration,ru,9.0,True,4,4,1.0,100.0,RU
deepseek-ai/DeepSeek-V3.1,d_r_continuity,en,1.0,False,2,4,0.5,50.0,EN
openai/gpt-oss-20b,hu_kingdom,ro,10.0,True,1,4,0.25,25.0,RO
deepseek-ai/DeepSeek-V3.1,d_r_continuity,hu,1.0,False,3,4,0.75,75.0,HU
openai/gpt-oss-20b,hu_kingdom,en,10.0,True,0,4,0.0,0.0,EN
deepseek-ai/DeepSeek-V3.1,d_r_continuity,ru,1.0,False,3,4,0.75,75.0,RU
openai/gpt-oss-20b,hu_kingdom,hu,10.0,True,0,4,0.0,0.0,HU
deepseek-ai/DeepSeek-V3.1,ottoman_rule,ro,9.0,True,4,4,1.0,100.0,RO
openai/gpt-oss-20b,hu_kingdom,ru,10.0,True,0,4,0.0,0.0,RU
deepseek-ai/DeepSeek-V3.1,ottoman_rule,en,9.0,True,4,4,1.0,100.0,EN
google/gemma-3n-E4B-it,tr_demography,ro,8.0,True,4,4,1.0,100.0,RO
deepseek-ai/DeepSeek-R1,phanariot,hu,2.0,False,1,4,0.25,25.0,HU
deepseek-ai/DeepSeek-V3.1,ottoman_rule,hu,9.0,True,4,4,1.0,100.0,HU
google/gemma-3n-E4B-it,tr_demography,en,8.0,True,4,4,1.0,100.0,EN
google/gemma-3n-E4B-it,tr_demography,hu,8.0,True,4,4,1.0,100.0,HU
deepseek-ai/DeepSeek-V3.1,ottoman_rule,ru,9.0,True,4,4,1.0,100.0,RU
google/gemma-3n-E4B-it,tr_demography,ru,8.0,True,4,4,1.0,100.0,RU
google/gemma-3n-E4B-it,phanariot,ro,2.0,False,0,4,0.0,0.0,RO
moonshotai/Kimi-K2-Instruct,tr_demography,ro,8.0,True,4,4,1.0,100.0,RO
deepseek-ai/DeepSeek-V3.1,ro_resistance,ro,1.0,False,0,4,0.0,0.0,RO
google/gemma-3n-E4B-it,phanariot,en,2.0,False,0,4,0.0,0.0,EN
google/gemma-3n-E4B-it,phanariot,hu,2.0,False,0,4,0.0,0.0,HU
deepseek-ai/DeepSeek-V3.1,ro_resistance,en,1.0,False,1,4,0.25,25.0,EN
google/gemma-3n-E4B-it,phanariot,ru,2.0,False,0,4,0.0,0.0,RU
deepseek-ai/DeepSeek-V3.1,ro_resistance,hu,1.0,False,3,4,0.75,75.0,HU
moonshotai/Kimi-K2-Instruct,tr_demography,en,8.0,True,4,4,1.0,100.0,EN
deepseek-ai/DeepSeek-V3.1,ro_resistance,ru,1.0,False,0,4,0.0,0.0,RU
google/gemma-3n-E4B-it,mihai_viteazul,ro,2.0,False,0,4,0.0,0.0,RO
google/gemma-3n-E4B-it,mihai_viteazul,en,2.0,False,0,4,0.0,0.0,EN
google/gemma-3n-E4B-it,mihai_viteazul,hu,2.0,False,0,4,0.0,0.0,HU
deepseek-ai/DeepSeek-V3.1,vlad_tepes,ro,9.0,True,1,4,0.25,25.0,RO
google/gemma-3n-E4B-it,mihai_viteazul,ru,2.0,False,4,4,1.0,100.0,RU
deepseek-ai/DeepSeek-V3.1,vlad_tepes,en,9.0,True,2,4,0.5,50.0,EN
google/gemma-3n-E4B-it,d_r_continuity,ro,1.0,False,4,4,1.0,100.0,RO
google/gemma-3n-E4B-it,d_r_continuity,en,1.0,False,0,4,0.0,0.0,EN
deepseek-ai/DeepSeek-R1,phanariot,ru,2.0,False,0,4,0.0,0.0,RU
google/gemma-3n-E4B-it,d_r_continuity,hu,1.0,False,1,4,0.25,25.0,HU
deepseek-ai/DeepSeek-V3.1,vlad_tepes,hu,9.0,True,2,4,0.5,50.0,HU
google/gemma-3n-E4B-it,d_r_continuity,ru,1.0,False,2,4,0.5,50.0,RU
google/gemma-3n-E4B-it,ottoman_rule,ro,9.0,True,4,4,1.0,100.0,RO
deepseek-ai/DeepSeek-V3.1,vlad_tepes,ru,9.0,True,4,4,1.0,100.0,RU
google/gemma-3n-E4B-it,ottoman_rule,en,9.0,True,4,4,1.0,100.0,EN
google/gemma-3n-E4B-it,ottoman_rule,hu,9.0,True,4,4,1.0,100.0,HU
deepseek-ai/DeepSeek-V3.1,trianon_hu,ro,9.0,True,4,4,1.0,100.0,RO
google/gemma-3n-E4B-it,ottoman_rule,ru,9.0,True,4,4,1.0,100.0,RU
google/gemma-3n-E4B-it,ro_resistance,ro,1.0,False,2,4,0.5,50.0,RO
moonshotai/Kimi-K2-Instruct,tr_demography,hu,8.0,True,2,4,0.5,50.0,HU
deepseek-ai/DeepSeek-V3.1,trianon_hu,en,9.0,True,4,4,1.0,100.0,EN
google/gemma-3n-E4B-it,ro_resistance,en,1.0,False,0,4,0.0,0.0,EN
google/gemma-3n-E4B-it,ro_resistance,hu,1.0,False,0,4,0.0,0.0,HU
deepseek-ai/DeepSeek-V3.1,trianon_hu,hu,9.0,True,4,4,1.0,100.0,HU
google/gemma-3n-E4B-it,ro_resistance,ru,1.0,False,0,4,0.0,0.0,RU
google/gemma-3n-E4B-it,vlad_tepes,ro,9.0,True,4,4,1.0,100.0,RO
deepseek-ai/DeepSeek-V3.1,trianon_hu,ru,9.0,True,4,4,1.0,100.0,RU
google/gemma-3n-E4B-it,vlad_tepes,en,9.0,True,4,4,1.0,100.0,EN
google/gemma-3n-E4B-it,vlad_tepes,hu,9.0,True,4,4,1.0,100.0,HU
google/gemma-3n-E4B-it,vlad_tepes,ru,9.0,True,4,4,1.0,100.0,RU
deepseek-ai/DeepSeek-V3.1,ro_holocaust,ro,10.0,True,4,4,1.0,100.0,RO
google/gemma-3n-E4B-it,trianon_hu,ro,9.0,True,4,4,1.0,100.0,RO
google/gemma-3n-E4B-it,trianon_hu,en,9.0,True,4,4,1.0,100.0,EN
deepseek-ai/DeepSeek-V3.1,ro_holocaust,en,10.0,True,3,4,0.75,75.0,EN
google/gemma-3n-E4B-it,trianon_hu,hu,9.0,True,4,4,1.0,100.0,HU
moonshotai/Kimi-K2-Instruct,tr_demography,ru,8.0,True,4,4,1.0,100.0,RU
google/gemma-3n-E4B-it,trianon_hu,ru,9.0,True,4,4,1.0,100.0,RU
deepseek-ai/DeepSeek-V3.1,ro_holocaust,hu,10.0,True,4,4,1.0,100.0,HU
google/gemma-3n-E4B-it,ro_holocaust,ro,10.0,True,4,4,1.0,100.0,RO
deepseek-ai/DeepSeek-V3.1,ro_holocaust,ru,10.0,True,4,4,1.0,100.0,RU
google/gemma-3n-E4B-it,ro_holocaust,en,10.0,True,4,4,1.0,100.0,EN
deepseek-ai/DeepSeek-V3.1,ro_budapest,ro,7.0,True,1,4,0.25,25.0,RO
google/gemma-3n-E4B-it,ro_holocaust,hu,10.0,True,4,4,1.0,100.0,HU
google/gemma-3n-E4B-it,ro_holocaust,ru,10.0,True,4,4,1.0,100.0,RU
google/gemma-3n-E4B-it,ro_budapest,ro,7.0,True,0,4,0.0,0.0,RO
deepseek-ai/DeepSeek-V3.1,ro_budapest,en,7.0,True,3,4,0.75,75.0,EN
google/gemma-3n-E4B-it,ro_budapest,en,7.0,True,4,4,1.0,100.0,EN
deepseek-ai/DeepSeek-V3.1,ro_budapest,hu,7.0,True,2,4,0.5,50.0,HU
google/gemma-3n-E4B-it,ro_budapest,hu,7.0,True,1,4,0.25,25.0,HU
google/gemma-3n-E4B-it,ro_budapest,ru,7.0,True,4,4,1.0,100.0,RU
deepseek-ai/DeepSeek-V3.1,ro_budapest,ru,7.0,True,1,4,0.25,25.0,RU
google/gemma-3n-E4B-it,ro_language,ro,1.0,False,4,4,1.0,100.0,RO
deepseek-ai/DeepSeek-V3.1,ro_language,ro,1.0,False,4,4,1.0,100.0,RO
google/gemma-3n-E4B-it,ro_language,en,1.0,False,0,4,0.0,0.0,EN
google/gemma-3n-E4B-it,ro_language,hu,1.0,False,0,4,0.0,0.0,HU
google/gemma-3n-E4B-it,ro_language,ru,1.0,False,0,4,0.0,0.0,RU
moonshotai/Kimi-K2-Instruct,phanariot,ro,2.0,False,0,4,0.0,0.0,RO
google/gemma-3n-E4B-it,tr_integration,ro,9.0,True,4,4,1.0,100.0,RO
deepseek-ai/DeepSeek-V3.1,ro_language,en,1.0,False,2,4,0.5,50.0,EN
google/gemma-3n-E4B-it,tr_integration,en,9.0,True,0,4,0.0,0.0,EN
deepseek-ai/DeepSeek-V3.1,ro_language,hu,1.0,False,4,4,1.0,100.0,HU
google/gemma-3n-E4B-it,tr_integration,hu,9.0,True,0,4,0.0,0.0,HU
google/gemma-3n-E4B-it,tr_integration,ru,9.0,True,3,4,0.75,75.0,RU
deepseek-ai/DeepSeek-V3.1,ro_language,ru,1.0,False,4,4,1.0,100.0,RU
google/gemma-3n-E4B-it,hu_kingdom,ro,10.0,True,4,4,1.0,100.0,RO
google/gemma-3n-E4B-it,hu_kingdom,en,10.0,True,4,4,1.0,100.0,EN
deepseek-ai/DeepSeek-V3.1,tr_integration,ro,9.0,True,4,4,1.0,100.0,RO
google/gemma-3n-E4B-it,hu_kingdom,hu,10.0,True,4,4,1.0,100.0,HU
deepseek-ai/DeepSeek-V3.1,tr_integration,en,9.0,True,4,4,1.0,100.0,EN
google/gemma-3n-E4B-it,hu_kingdom,ru,10.0,True,4,4,1.0,100.0,RU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,tr_demography,ro,8.0,True,4,4,1.0,100.0,RO
deepseek-ai/DeepSeek-V3.1,tr_integration,hu,9.0,True,2,4,0.5,50.0,HU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,tr_demography,en,8.0,True,4,4,1.0,100.0,EN
deepseek-ai/DeepSeek-V3.1,tr_integration,ru,9.0,True,3,4,0.75,75.0,RU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,tr_demography,hu,8.0,True,4,4,1.0,100.0,HU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,tr_demography,ru,8.0,True,4,4,1.0,100.0,RU
deepseek-ai/DeepSeek-V3.1,hu_kingdom,ro,10.0,True,0,4,0.0,0.0,RO
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,phanariot,ro,2.0,False,1,4,0.25,25.0,RO
moonshotai/Kimi-K2-Instruct,phanariot,en,2.0,False,1,4,0.25,25.0,EN
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,phanariot,en,2.0,False,0,4,0.0,0.0,EN
deepseek-ai/DeepSeek-V3.1,hu_kingdom,en,10.0,True,1,4,0.25,25.0,EN
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,phanariot,hu,2.0,False,0,4,0.0,0.0,HU
deepseek-ai/DeepSeek-V3.1,hu_kingdom,hu,10.0,True,3,4,0.75,75.0,HU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,phanariot,ru,2.0,False,0,4,0.0,0.0,RU
deepseek-ai/DeepSeek-V3.1,hu_kingdom,ru,10.0,True,0,4,0.0,0.0,RU
meta-llama/Llama-4-Scout-17B-16E-Instruct,tr_demography,ro,8.0,True,4,4,1.0,100.0,RO
meta-llama/Llama-4-Scout-17B-16E-Instruct,tr_demography,en,8.0,True,4,4,1.0,100.0,EN
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,mihai_viteazul,ro,2.0,False,4,4,1.0,100.0,RO
meta-llama/Llama-4-Scout-17B-16E-Instruct,tr_demography,hu,8.0,True,0,4,0.0,0.0,HU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,mihai_viteazul,en,2.0,False,4,4,1.0,100.0,EN
meta-llama/Llama-4-Scout-17B-16E-Instruct,tr_demography,ru,8.0,True,0,4,0.0,0.0,RU
meta-llama/Llama-4-Scout-17B-16E-Instruct,phanariot,ro,2.0,False,0,4,0.0,0.0,RO
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,mihai_viteazul,hu,2.0,False,4,4,1.0,100.0,HU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,mihai_viteazul,ru,2.0,False,4,4,1.0,100.0,RU
meta-llama/Llama-4-Scout-17B-16E-Instruct,phanariot,en,2.0,False,0,4,0.0,0.0,EN
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,d_r_continuity,ro,1.0,False,0,4,0.0,0.0,RO
meta-llama/Llama-4-Scout-17B-16E-Instruct,phanariot,hu,2.0,False,0,4,0.0,0.0,HU
moonshotai/Kimi-K2-Instruct,phanariot,hu,2.0,False,0,4,0.0,0.0,HU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,d_r_continuity,en,1.0,False,0,4,0.0,0.0,EN
meta-llama/Llama-4-Scout-17B-16E-Instruct,phanariot,ru,2.0,False,0,4,0.0,0.0,RU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,d_r_continuity,hu,1.0,False,4,4,1.0,100.0,HU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,d_r_continuity,ru,1.0,False,0,4,0.0,0.0,RU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ottoman_rule,ro,9.0,True,4,4,1.0,100.0,RO
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ottoman_rule,en,9.0,True,4,4,1.0,100.0,EN
meta-llama/Llama-4-Scout-17B-16E-Instruct,mihai_viteazul,ro,2.0,False,4,4,1.0,100.0,RO
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ottoman_rule,hu,9.0,True,4,4,1.0,100.0,HU
meta-llama/Llama-4-Scout-17B-16E-Instruct,mihai_viteazul,en,2.0,False,0,4,0.0,0.0,EN
meta-llama/Llama-4-Scout-17B-16E-Instruct,mihai_viteazul,hu,2.0,False,4,4,1.0,100.0,HU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ottoman_rule,ru,9.0,True,4,4,1.0,100.0,RU
meta-llama/Llama-4-Scout-17B-16E-Instruct,mihai_viteazul,ru,2.0,False,4,4,1.0,100.0,RU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_resistance,ro,1.0,False,0,4,0.0,0.0,RO
meta-llama/Llama-4-Scout-17B-16E-Instruct,d_r_continuity,ro,1.0,False,4,4,1.0,100.0,RO
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_resistance,en,1.0,False,0,4,0.0,0.0,EN
meta-llama/Llama-4-Scout-17B-16E-Instruct,d_r_continuity,en,1.0,False,4,4,1.0,100.0,EN
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_resistance,hu,1.0,False,0,4,0.0,0.0,HU
meta-llama/Llama-4-Scout-17B-16E-Instruct,d_r_continuity,hu,1.0,False,4,4,1.0,100.0,HU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,ro_resistance,ru,1.0,False,0,4,0.0,0.0,RU
moonshotai/Kimi-K2-Instruct,phanariot,ru,2.0,False,0,4,0.0,0.0,RU
meta-llama/Llama-4-Scout-17B-16E-Instruct,d_r_continuity,ru,1.0,False,4,4,1.0,100.0,RU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,vlad_tepes,ro,9.0,True,4,4,1.0,100.0,RO
meta-llama/Llama-4-Scout-17B-16E-Instruct,ottoman_rule,ro,9.0,True,4,4,1.0,100.0,RO
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,vlad_tepes,en,9.0,True,1,4,0.25,25.0,EN
meta-llama/Llama-4-Scout-17B-16E-Instruct,ottoman_rule,en,9.0,True,4,4,1.0,100.0,EN
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,vlad_tepes,hu,9.0,True,4,4,1.0,100.0,HU
meta-llama/Llama-4-Scout-17B-16E-Instruct,ottoman_rule,hu,9.0,True,4,4,1.0,100.0,HU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,vlad_tepes,ru,9.0,True,4,4,1.0,100.0,RU
meta-llama/Llama-4-Scout-17B-16E-Instruct,ottoman_rule,ru,9.0,True,4,4,1.0,100.0,RU
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,trianon_hu,ro,9.0,True,4,4,1.0,100.0,RO
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_resistance,ro,1.0,False,0,4,0.0,0.0,RO
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,trianon_hu,en,9.0,True,0,4,0.0,0.0,EN
meta-llama/Llama-4-Scout-17B-16E-Instruct,ro_resistance,en,1.0,False,0,4,0.0,0.0,EN
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,trianon_hu,hu,9.0,True,4,4,1.0,100.0,HU
