qid,lang,model,std
ceausescu,ru,meta-llama/Llama-3.3-70B-Instruct-Turbo,0.0
ceausescu,ru,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.4330127018922193
ceausescu,ru,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.0
ceausescu,ru,mistralai/Mistral-Small-24B-Instruct-2501,1.5811388300841898
ceausescu,ru,moonshotai/Kimi-K2-Instruct,1.6583123951777
ceausescu,ru,openai/gpt-oss-20b,1.0897247358851685
d_r_continuity,en,Qwen/Qwen2.5-7B-Instruct-Turbo,0.0
d_r_continuity,en,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.4330127018922193
d_r_continuity,en,arcee-ai/virtuoso-large,0.5
d_r_continuity,en,deepseek-ai/DeepSeek-R1,0.0
d_r_continuity,en,deepseek-ai/DeepSeek-V3.1,1.0897247358851685
d_r_continuity,en,google/gemma-3n-E4B-it,0.5
d_r_continuity,en,lgai/exaone-3-5-32b-instruct,0.0
d_r_continuity,en,meta-llama/Llama-3.3-70B-Instruct-Turbo,0.0
d_r_continuity,en,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.0
d_r_continuity,en,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.4330127018922193
d_r_continuity,en,mistralai/Mistral-Small-24B-Instruct-2501,1.479019945774904
d_r_continuity,en,moonshotai/Kimi-K2-Instruct,0.5
d_r_continuity,en,openai/gpt-oss-20b,0.82915619758885
d_r_continuity,hu,Qwen/Qwen2.5-7B-Instruct-Turbo,0.0
d_r_continuity,hu,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.0
d_r_continuity,hu,arcee-ai/virtuoso-large,0.4330127018922193
d_r_continuity,hu,deepseek-ai/DeepSeek-R1,1.299038105676658
d_r_continuity,hu,deepseek-ai/DeepSeek-V3.1,2.5
d_r_continuity,hu,google/gemma-3n-E4B-it,1.7320508075688772
d_r_continuity,hu,lgai/exaone-3-5-32b-instruct,0.4330127018922193
d_r_continuity,hu,meta-llama/Llama-3.3-70B-Instruct-Turbo,0.0
d_r_continuity,hu,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.0
d_r_continuity,hu,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.0
d_r_continuity,hu,mistralai/Mistral-Small-24B-Instruct-2501,1.7853571071357126
d_r_continuity,hu,moonshotai/Kimi-K2-Instruct,0.0
d_r_continuity,hu,openai/gpt-oss-20b,2.0615528128088303
d_r_continuity,ro,Qwen/Qwen2.5-7B-Instruct-Turbo,0.4330127018922193
d_r_continuity,ro,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.4330127018922193
d_r_continuity,ro,arcee-ai/virtuoso-large,0.0
d_r_continuity,ro,deepseek-ai/DeepSeek-R1,0.0
d_r_continuity,ro,deepseek-ai/DeepSeek-V3.1,0.8660254037844386
d_r_continuity,ro,google/gemma-3n-E4B-it,1.5811388300841898
d_r_continuity,ro,lgai/exaone-3-5-32b-instruct,0.0
d_r_continuity,ro,meta-llama/Llama-3.3-70B-Instruct-Turbo,0.0
d_r_continuity,ro,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.0
d_r_continuity,ro,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.0
d_r_continuity,ro,mistralai/Mistral-Small-24B-Instruct-2501,1.118033988749895
d_r_continuity,ro,moonshotai/Kimi-K2-Instruct,0.4330127018922193
d_r_continuity,ro,openai/gpt-oss-20b,0.0
d_r_continuity,ru,Qwen/Qwen2.5-7B-Instruct-Turbo,0.4330127018922193
d_r_continuity,ru,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.0
d_r_continuity,ru,arcee-ai/virtuoso-large,0.0
d_r_continuity,ru,deepseek-ai/DeepSeek-R1,2.165063509461097
d_r_continuity,ru,deepseek-ai/DeepSeek-V3.1,1.118033988749895
d_r_continuity,ru,google/gemma-3n-E4B-it,1.7320508075688772
d_r_continuity,ru,lgai/exaone-3-5-32b-instruct,0.0
d_r_continuity,ru,meta-llama/Llama-3.3-70B-Instruct-Turbo,0.4330127018922193
d_r_continuity,ru,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,1.299038105676658
d_r_continuity,ru,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.4330127018922193
d_r_continuity,ru,mistralai/Mistral-Small-24B-Instruct-2501,1.7853571071357126
d_r_continuity,ru,moonshotai/Kimi-K2-Instruct,2.165063509461097
d_r_continuity,ru,openai/gpt-oss-20b,1.6393596310755
hu_kingdom,en,Qwen/Qwen2.5-7B-Instruct-Turbo,0.0
hu_kingdom,en,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.4330127018922193
hu_kingdom,en,arcee-ai/virtuoso-large,0.5
hu_kingdom,en,deepseek-ai/DeepSeek-R1,2.598076211353316
hu_kingdom,en,deepseek-ai/DeepSeek-V3.1,0.82915619758885
hu_kingdom,en,google/gemma-3n-E4B-it,0.0
hu_kingdom,en,lgai/exaone-3-5-32b-instruct,1.299038105676658
hu_kingdom,en,meta-llama/Llama-3.3-70B-Instruct-Turbo,0.0
hu_kingdom,en,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,1.5
hu_kingdom,en,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.8660254037844386
hu_kingdom,en,mistralai/Mistral-Small-24B-Instruct-2501,1.224744871391589
hu_kingdom,en,moonshotai/Kimi-K2-Instruct,0.0
hu_kingdom,en,openai/gpt-oss-20b,1.299038105676658
hu_kingdom,hu,Qwen/Qwen2.5-7B-Instruct-Turbo,0.0
hu_kingdom,hu,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.0
hu_kingdom,hu,arcee-ai/virtuoso-large,0.4330127018922193
hu_kingdom,hu,deepseek-ai/DeepSeek-R1,0.4330127018922193
hu_kingdom,hu,deepseek-ai/DeepSeek-V3.1,1.6393596310755
hu_kingdom,hu,google/gemma-3n-E4B-it,3.2691742076555053
hu_kingdom,hu,lgai/exaone-3-5-32b-instruct,0.0
hu_kingdom,hu,meta-llama/Llama-3.3-70B-Instruct-Turbo,1.299038105676658
hu_kingdom,hu,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.0
hu_kingdom,hu,meta-llama/Llama-4-Scout-17B-16E-Instruct,2.7726341266023544
hu_kingdom,hu,mistralai/Mistral-Small-24B-Instruct-2501,1.920286436967152
hu_kingdom,hu,moonshotai/Kimi-K2-Instruct,0.5
hu_kingdom,hu,openai/gpt-oss-20b,1.6393596310755
hu_kingdom,ro,Qwen/Qwen2.5-7B-Instruct-Turbo,1.299038105676658
hu_kingdom,ro,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.4330127018922193
hu_kingdom,ro,arcee-ai/virtuoso-large,1.299038105676658
hu_kingdom,ro,deepseek-ai/DeepSeek-R1,0.0
hu_kingdom,ro,deepseek-ai/DeepSeek-V3.1,2.0615528128088303
hu_kingdom,ro,google/gemma-3n-E4B-it,0.0
hu_kingdom,ro,lgai/exaone-3-5-32b-instruct,0.4330127018922193
hu_kingdom,ro,meta-llama/Llama-3.3-70B-Instruct-Turbo,1.5811388300841898
hu_kingdom,ro,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.0
hu_kingdom,ro,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.0
hu_kingdom,ro,mistralai/Mistral-Small-24B-Instruct-2501,1.479019945774904
hu_kingdom,ro,moonshotai/Kimi-K2-Instruct,1.8027756377319946
hu_kingdom,ro,openai/gpt-oss-20b,0.4330127018922193
hu_kingdom,ru,Qwen/Qwen2.5-7B-Instruct-Turbo,0.4330127018922193
hu_kingdom,ru,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.0
hu_kingdom,ru,arcee-ai/virtuoso-large,0.7071067811865476
hu_kingdom,ru,deepseek-ai/DeepSeek-R1,0.0
hu_kingdom,ru,deepseek-ai/DeepSeek-V3.1,2.449489742783178
hu_kingdom,ru,google/gemma-3n-E4B-it,2.598076211353316
hu_kingdom,ru,lgai/exaone-3-5-32b-instruct,0.4330127018922193
hu_kingdom,ru,meta-llama/Llama-3.3-70B-Instruct-Turbo,0.0
hu_kingdom,ru,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.0
hu_kingdom,ru,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.0
hu_kingdom,ru,mistralai/Mistral-Small-24B-Instruct-2501,0.4330127018922193
hu_kingdom,ru,moonshotai/Kimi-K2-Instruct,0.4330127018922193
hu_kingdom,ru,openai/gpt-oss-20b,3.0413812651491097
mihai_viteazul,en,Qwen/Qwen2.5-7B-Instruct-Turbo,0.0
mihai_viteazul,en,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.4330127018922193
mihai_viteazul,en,arcee-ai/virtuoso-large,0.4330127018922193
mihai_viteazul,en,deepseek-ai/DeepSeek-R1,0.0
mihai_viteazul,en,deepseek-ai/DeepSeek-V3.1,0.0
mihai_viteazul,en,google/gemma-3n-E4B-it,0.4330127018922193
mihai_viteazul,en,lgai/exaone-3-5-32b-instruct,0.0
mihai_viteazul,en,meta-llama/Llama-3.3-70B-Instruct-Turbo,0.0
mihai_viteazul,en,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,1.299038105676658
mihai_viteazul,en,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.0
mihai_viteazul,en,mistralai/Mistral-Small-24B-Instruct-2501,0.4330127018922193
mihai_viteazul,en,moonshotai/Kimi-K2-Instruct,0.4330127018922193
mihai_viteazul,en,openai/gpt-oss-20b,1.118033988749895
mihai_viteazul,hu,Qwen/Qwen2.5-7B-Instruct-Turbo,0.4330127018922193
mihai_viteazul,hu,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.5
mihai_viteazul,hu,arcee-ai/virtuoso-large,0.4330127018922193
mihai_viteazul,hu,deepseek-ai/DeepSeek-R1,0.0
mihai_viteazul,hu,deepseek-ai/DeepSeek-V3.1,3.897114317029974
mihai_viteazul,hu,google/gemma-3n-E4B-it,0.4330127018922193
mihai_viteazul,hu,lgai/exaone-3-5-32b-instruct,1.299038105676658
mihai_viteazul,hu,meta-llama/Llama-3.3-70B-Instruct-Turbo,0.0
mihai_viteazul,hu,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.0
mihai_viteazul,hu,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.0
mihai_viteazul,hu,mistralai/Mistral-Small-24B-Instruct-2501,1.920286436967152
mihai_viteazul,hu,moonshotai/Kimi-K2-Instruct,1.6583123951777
mihai_viteazul,hu,openai/gpt-oss-20b,
mihai_viteazul,ro,Qwen/Qwen2.5-7B-Instruct-Turbo,0.7071067811865476
mihai_viteazul,ro,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.4330127018922193
mihai_viteazul,ro,arcee-ai/virtuoso-large,0.4330127018922193
mihai_viteazul,ro,deepseek-ai/DeepSeek-R1,2.598076211353316
mihai_viteazul,ro,deepseek-ai/DeepSeek-V3.1,0.8660254037844386
mihai_viteazul,ro,google/gemma-3n-E4B-it,0.5
mihai_viteazul,ro,lgai/exaone-3-5-32b-instruct,0.0
mihai_viteazul,ro,meta-llama/Llama-3.3-70B-Instruct-Turbo,1.0
mihai_viteazul,ro,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.0
mihai_viteazul,ro,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.5
mihai_viteazul,ro,mistralai/Mistral-Small-24B-Instruct-2501,2.165063509461097
mihai_viteazul,ro,moonshotai/Kimi-K2-Instruct,2.1213203435596424
mihai_viteazul,ro,openai/gpt-oss-20b,0.5
mihai_viteazul,ru,Qwen/Qwen2.5-7B-Instruct-Turbo,0.0
mihai_viteazul,ru,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.4330127018922193
mihai_viteazul,ru,arcee-ai/virtuoso-large,0.0
mihai_viteazul,ru,deepseek-ai/DeepSeek-R1,0.8660254037844386
mihai_viteazul,ru,deepseek-ai/DeepSeek-V3.1,2.29128784747792
mihai_viteazul,ru,google/gemma-3n-E4B-it,0.4330127018922193
mihai_viteazul,ru,lgai/exaone-3-5-32b-instruct,0.5
mihai_viteazul,ru,meta-llama/Llama-3.3-70B-Instruct-Turbo,0.0
mihai_viteazul,ru,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.0
mihai_viteazul,ru,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.0
mihai_viteazul,ru,mistralai/Mistral-Small-24B-Instruct-2501,1.0897247358851685
mihai_viteazul,ru,moonshotai/Kimi-K2-Instruct,0.7071067811865476
mihai_viteazul,ru,openai/gpt-oss-20b,1.118033988749895
ottoman_rule,en,Qwen/Qwen2.5-7B-Instruct-Turbo,0.5
ottoman_rule,en,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.5
ottoman_rule,en,arcee-ai/virtuoso-large,0.5
ottoman_rule,en,deepseek-ai/DeepSeek-R1,0.0
ottoman_rule,en,deepseek-ai/DeepSeek-V3.1,0.82915619758885
ottoman_rule,en,google/gemma-3n-E4B-it,0.82915619758885
ottoman_rule,en,lgai/exaone-3-5-32b-instruct,0.0
ottoman_rule,en,meta-llama/Llama-3.3-70B-Instruct-Turbo,0.0
ottoman_rule,en,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.0
ottoman_rule,en,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.0
ottoman_rule,en,mistralai/Mistral-Small-24B-Instruct-2501,1.0897247358851685
ottoman_rule,en,moonshotai/Kimi-K2-Instruct,0.4330127018922193
ottoman_rule,en,openai/gpt-oss-20b,1.299038105676658
ottoman_rule,hu,Qwen/Qwen2.5-7B-Instruct-Turbo,0.4330127018922193
ottoman_rule,hu,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.0
ottoman_rule,hu,arcee-ai/virtuoso-large,0.5
ottoman_rule,hu,deepseek-ai/DeepSeek-R1,2.8613807855648994
ottoman_rule,hu,deepseek-ai/DeepSeek-V3.1,0.7071067811865476
ottoman_rule,hu,google/gemma-3n-E4B-it,0.0
ottoman_rule,hu,lgai/exaone-3-5-32b-instruct,0.0
ottoman_rule,hu,meta-llama/Llama-3.3-70B-Instruct-Turbo,0.0
ottoman_rule,hu,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.0
ottoman_rule,hu,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.0
ottoman_rule,hu,mistralai/Mistral-Small-24B-Instruct-2501,1.920286436967152
ottoman_rule,hu,moonshotai/Kimi-K2-Instruct,1.0897247358851685
ottoman_rule,hu,openai/gpt-oss-20b,0.82915619758885
ottoman_rule,ro,Qwen/Qwen2.5-7B-Instruct-Turbo,0.5
ottoman_rule,ro,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.4330127018922193
ottoman_rule,ro,arcee-ai/virtuoso-large,0.4330127018922193
ottoman_rule,ro,deepseek-ai/DeepSeek-R1,3.031088913245535
ottoman_rule,ro,deepseek-ai/DeepSeek-V3.1,2.680951323690902
ottoman_rule,ro,google/gemma-3n-E4B-it,0.4330127018922193
ottoman_rule,ro,lgai/exaone-3-5-32b-instruct,0.0
ottoman_rule,ro,meta-llama/Llama-3.3-70B-Instruct-Turbo,0.0
ottoman_rule,ro,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.0
ottoman_rule,ro,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.0
ottoman_rule,ro,mistralai/Mistral-Small-24B-Instruct-2501,2.29128784747792
ottoman_rule,ro,moonshotai/Kimi-K2-Instruct,1.224744871391589
ottoman_rule,ro,openai/gpt-oss-20b,0.4330127018922193
ottoman_rule,ru,Qwen/Qwen2.5-7B-Instruct-Turbo,3.3541019662496847
ottoman_rule,ru,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.0
ottoman_rule,ru,arcee-ai/virtuoso-large,0.0
ottoman_rule,ru,deepseek-ai/DeepSeek-R1,0.0
ottoman_rule,ru,deepseek-ai/DeepSeek-V3.1,0.5
ottoman_rule,ru,google/gemma-3n-E4B-it,0.0
ottoman_rule,ru,lgai/exaone-3-5-32b-instruct,0.5
ottoman_rule,ru,meta-llama/Llama-3.3-70B-Instruct-Turbo,0.0
ottoman_rule,ru,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.0
ottoman_rule,ru,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.0
ottoman_rule,ru,mistralai/Mistral-Small-24B-Instruct-2501,0.82915619758885
ottoman_rule,ru,moonshotai/Kimi-K2-Instruct,0.4330127018922193
ottoman_rule,ru,openai/gpt-oss-20b,0.8660254037844386
phanariot,en,Qwen/Qwen2.5-7B-Instruct-Turbo,0.4330127018922193
phanariot,en,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.0
phanariot,en,arcee-ai/virtuoso-large,0.8660254037844386
phanariot,en,deepseek-ai/DeepSeek-R1,2.449489742783178
phanariot,en,deepseek-ai/DeepSeek-V3.1,1.224744871391589
phanariot,en,google/gemma-3n-E4B-it,0.4330127018922193
phanariot,en,lgai/exaone-3-5-32b-instruct,0.0
phanariot,en,meta-llama/Llama-3.3-70B-Instruct-Turbo,0.0
phanariot,en,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,1.299038105676658
phanariot,en,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.4330127018922193
phanariot,en,mistralai/Mistral-Small-24B-Instruct-2501,1.0
phanariot,en,moonshotai/Kimi-K2-Instruct,0.4330127018922193
phanariot,en,openai/gpt-oss-20b,0.0
phanariot,hu,Qwen/Qwen2.5-7B-Instruct-Turbo,1.0
phanariot,hu,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.5
phanariot,hu,arcee-ai/virtuoso-large,0.7071067811865476
phanariot,hu,deepseek-ai/DeepSeek-R1,2.165063509461097
phanariot,hu,deepseek-ai/DeepSeek-V3.1,3.112474899497183
phanariot,hu,google/gemma-3n-E4B-it,0.0
phanariot,hu,lgai/exaone-3-5-32b-instruct,1.7320508075688772
phanariot,hu,meta-llama/Llama-3.3-70B-Instruct-Turbo,0.0
phanariot,hu,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.0
phanariot,hu,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.4330127018922193
phanariot,hu,mistralai/Mistral-Small-24B-Instruct-2501,1.8027756377319946
phanariot,hu,moonshotai/Kimi-K2-Instruct,0.4330127018922193
phanariot,hu,openai/gpt-oss-20b,1.299038105676658
phanariot,ro,Qwen/Qwen2.5-7B-Instruct-Turbo,0.0
phanariot,ro,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.0
phanariot,ro,arcee-ai/virtuoso-large,0.8660254037844386
phanariot,ro,deepseek-ai/DeepSeek-R1,0.0
phanariot,ro,deepseek-ai/DeepSeek-V3.1,
phanariot,ro,google/gemma-3n-E4B-it,0.0
phanariot,ro,lgai/exaone-3-5-32b-instruct,0.0
phanariot,ro,meta-llama/Llama-3.3-70B-Instruct-Turbo,0.0
phanariot,ro,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.4330127018922193
phanariot,ro,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.4330127018922193
phanariot,ro,mistralai/Mistral-Small-24B-Instruct-2501,1.7853571071357126
phanariot,ro,moonshotai/Kimi-K2-Instruct,0.82915619758885
phanariot,ro,openai/gpt-oss-20b,0.4330127018922193
phanariot,ru,Qwen/Qwen2.5-7B-Instruct-Turbo,0.0
phanariot,ru,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.4330127018922193
phanariot,ru,arcee-ai/virtuoso-large,0.4330127018922193
phanariot,ru,deepseek-ai/DeepSeek-R1,2.8722813232690143
phanariot,ru,deepseek-ai/DeepSeek-V3.1,1.0897247358851685
phanariot,ru,google/gemma-3n-E4B-it,0.0
phanariot,ru,lgai/exaone-3-5-32b-instruct,0.4330127018922193
phanariot,ru,meta-llama/Llama-3.3-70B-Instruct-Turbo,0.0
phanariot,ru,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.0
phanariot,ru,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.4330127018922193
phanariot,ru,mistralai/Mistral-Small-24B-Instruct-2501,1.7853571071357126
phanariot,ru,moonshotai/Kimi-K2-Instruct,0.5
phanariot,ru,openai/gpt-oss-20b,0.7071067811865476
ro_budapest,en,Qwen/Qwen2.5-7B-Instruct-Turbo,0.7071067811865476
ro_budapest,en,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.0
ro_budapest,en,arcee-ai/virtuoso-large,0.5
ro_budapest,en,deepseek-ai/DeepSeek-R1,3.897114317029974
ro_budapest,en,deepseek-ai/DeepSeek-V3.1,2.598076211353316
ro_budapest,en,google/gemma-3n-E4B-it,0.5
ro_budapest,en,lgai/exaone-3-5-32b-instruct,0.4330127018922193
ro_budapest,en,meta-llama/Llama-3.3-70B-Instruct-Turbo,0.0
ro_budapest,en,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.0
ro_budapest,en,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.0
ro_budapest,en,mistralai/Mistral-Small-24B-Instruct-2501,1.224744871391589
ro_budapest,en,moonshotai/Kimi-K2-Instruct,4.264680527307995
ro_budapest,en,openai/gpt-oss-20b,2.48746859276655
ro_budapest,hu,Qwen/Qwen2.5-7B-Instruct-Turbo,0.0
ro_budapest,hu,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.4330127018922193
ro_budapest,hu,arcee-ai/virtuoso-large,1.299038105676658
ro_budapest,hu,deepseek-ai/DeepSeek-R1,2.5
ro_budapest,hu,deepseek-ai/DeepSeek-V3.1,3.031088913245535
ro_budapest,hu,google/gemma-3n-E4B-it,4.5
ro_budapest,hu,lgai/exaone-3-5-32b-instruct,0.4330127018922193
ro_budapest,hu,meta-llama/Llama-3.3-70B-Instruct-Turbo,3.031088913245535
ro_budapest,hu,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.0
ro_budapest,hu,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.0
ro_budapest,hu,mistralai/Mistral-Small-24B-Instruct-2501,2.165063509461097
ro_budapest,hu,moonshotai/Kimi-K2-Instruct,1.0897247358851685
ro_budapest,hu,openai/gpt-oss-20b,0.4330127018922193
ro_budapest,ro,Qwen/Qwen2.5-7B-Instruct-Turbo,0.4330127018922193
ro_budapest,ro,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.0
ro_budapest,ro,arcee-ai/virtuoso-large,0.4330127018922193
ro_budapest,ro,deepseek-ai/DeepSeek-R1,0.0
ro_budapest,ro,deepseek-ai/DeepSeek-V3.1,0.4330127018922193
ro_budapest,ro,google/gemma-3n-E4B-it,0.0
ro_budapest,ro,lgai/exaone-3-5-32b-instruct,0.5
ro_budapest,ro,meta-llama/Llama-3.3-70B-Instruct-Turbo,1.299038105676658
ro_budapest,ro,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.0
ro_budapest,ro,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.0
ro_budapest,ro,mistralai/Mistral-Small-24B-Instruct-2501,1.920286436967152
ro_budapest,ro,moonshotai/Kimi-K2-Instruct,1.299038105676658
ro_budapest,ro,openai/gpt-oss-20b,0.0
ro_budapest,ru,Qwen/Qwen2.5-7B-Instruct-Turbo,1.7853571071357126
ro_budapest,ru,Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0.4330127018922193
ro_budapest,ru,arcee-ai/virtuoso-large,0.8660254037844386
ro_budapest,ru,deepseek-ai/DeepSeek-R1,1.7320508075688772
ro_budapest,ru,deepseek-ai/DeepSeek-V3.1,0.0
ro_budapest,ru,google/gemma-3n-E4B-it,0.0
ro_budapest,ru,lgai/exaone-3-5-32b-instruct,0.4330127018922193
ro_budapest,ru,meta-llama/Llama-3.3-70B-Instruct-Turbo,2.0463381929681126
ro_budapest,ru,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0.0
ro_budapest,ru,meta-llama/Llama-4-Scout-17B-16E-Instruct,0.0
ro_budapest,ru,mistralai/Mistral-Small-24B-Instruct-2501,0.82915619758885
ro_budapest,ru,moonshotai/Kimi-K2-Instruct,0.4330127018922193
ro_budapest,ru,openai/gpt-oss-20b,2.598076211353316
